age_yrs,age_mth,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_perday_sd
0.08493150684931507,1,Calf,31,all,5351.642419512331,1401.217880776239,172.63362643588164,45.20057679923352
0.08493150684931507,1,Calf,31,Rs,4933.524988351591,380.77790639527836,159.14596736618034,12.28315827081543
0.08493150684931507,1,Calf,31,Vt,4917.525008283652,358.5562354557876,158.629838976892,11.566330175993148
0.08493150684931507,1,Calf,31,pctO2,4718.058671468797,1055.756983648244,152.1954410151225,34.05667689187884
0.16164383561643836,2,Calf,28,all,5152.08112415581,1367.043898521397,184.00289729127894,48.822996375764184
0.16164383561643836,2,Calf,28,Rs,4757.377610495962,401.85324045797,169.90634323199862,14.3519014449275
0.16164383561643836,2,Calf,28,Vt,4733.595840289817,373.838569934617,169.0569942960649,13.351377497664894
0.16164383561643836,2,Calf,28,pctO2,4546.643092634728,1014.2285553385448,162.3801104512403,36.222448404948025
0.2465753424657534,3,Calf,31,all,4850.490647875811,915.6147852278915,156.46744025405843,29.53596081380295
0.2465753424657534,3,Calf,31,Rs,4489.545288669417,222.6696305961259,144.82404156998118,7.182891309552448
0.2465753424657534,3,Calf,31,Vt,4465.123788401637,209.01180143770432,144.0362512387625,6.742316175409817
0.2465753424657534,3,Calf,31,pctO2,4298.555027742133,716.8908894673217,138.66306541103654,23.12551256346199
0.3287671232876712,4,Calf,30,all,3966.547711840624,970.8790214094508,132.21825706135414,32.3626340469817
0.3287671232876712,4,Calf,30,Rs,3671.142999126521,174.79144265934093,122.37143330421736,5.826381421978031
0.3287671232876712,4,Calf,30,Vt,3655.2411363307956,166.77398055954993,121.84137121102653,5.559132685318331
0.3287671232876712,4,Calf,30,pctO2,3519.5207691630876,803.9944863839049,117.31735897210292,26.79981621279683
0.4136986301369863,5,Calf,31,all,4864.319383676485,1190.4626497534746,156.91352850569305,38.4020209597895
0.4136986301369863,5,Calf,31,Rs,4503.081774803207,214.40193422542032,145.26070241300667,6.916191426626462
0.4136986301369863,5,Calf,31,Vt,4482.786717302041,205.38018197412032,144.60602313877553,6.6251671604554945
0.4136986301369863,5,Calf,31,pctO2,4317.099561480051,986.1922893058227,139.26127617677585,31.812654493736215
0.4958904109589041,6,Calf,30,all,6761.682421730371,1099.2244985838972,225.38941405767903,36.640816619463244
0.4958904109589041,6,Calf,30,Rs,6320.042195397049,265.8117596123916,210.66807317990163,8.86039198707972
0.4958904109589041,6,Calf,30,Vt,6294.607739882869,250.19867965331355,209.82025799609565,8.339955988443785
0.4958904109589041,6,Calf,30,pctO2,6090.609476662716,868.5008894654641,203.02031588875718,28.9500296488488
0.5808219178082191,7,Calf,31,all,11981.598132043753,2824.159944151635,386.5031655497985,91.10193368231081
0.5808219178082191,7,Calf,31,Rs,11182.491035502251,907.0400282862527,360.72551727426617,29.25935575116944
0.5808219178082191,7,Calf,31,Vt,11136.219883794778,847.9062497376977,359.2328994772509,27.35181450766767
0.5808219178082191,7,Calf,31,pctO2,10759.718094864866,2053.0765701838886,347.0876804795118,66.2282764575448
0.6657534246575343,8,Calf,31,all,13191.048037062557,3121.977155318244,425.5176786149212,100.70894049413691
0.6657534246575343,8,Calf,31,Rs,12288.227616901051,996.7291089110387,396.3944392548726,32.15255190035609
0.6657534246575343,8,Calf,31,Vt,12255.945433903198,947.399086694128,395.3530785130064,30.5612608611009
0.6657534246575343,8,Calf,31,pctO2,11823.650439210922,2256.086960342734,381.4080786842233,72.77699872073336
0.7479452054794521,9,Calf,30,all,13964.943653179636,3296.778418007206,465.49812177265454,109.89261393357353
0.7479452054794521,9,Calf,30,Rs,13023.380723967231,1056.359230045143,434.1126907989077,35.211974334838104
0.7479452054794521,9,Calf,30,Vt,12977.689342736967,993.1441535675691,432.5896447578989,33.10480511891897
0.7479452054794521,9,Calf,30,pctO2,12531.009842717998,2391.059178502682,417.70032809059995,79.70197261675607
0.8328767123287671,10,Calf,31,all,13306.12662688356,2510.137695337286,429.2298911897923,80.97218372055761
0.8328767123287671,10,Calf,31,Rs,12379.736102816107,806.1309437506408,399.34632589729375,26.004223991956152
0.8328767123287671,10,Calf,31,Vt,12358.15394657853,777.5860299317536,398.65012730898485,25.083420320379147
0.8328767123287671,10,Calf,31,pctO2,11909.385906625734,1801.4009646871011,384.1737389234108,58.10970853829358
0.915068493150685,11,Calf,30,all,9103.512726470268,2191.7024769638983,303.4504242156756,73.05674923212995
0.915068493150685,11,Calf,30,Rs,8524.20060957373,777.8852461525785,284.14002031912435,25.92950820508595
0.915068493150685,11,Calf,30,Vt,8461.504217190834,720.6051629822526,282.05014057302776,24.02017209940842
0.915068493150685,11,Calf,30,pctO2,8195.47228817405,1562.9990948024285,273.1824096058017,52.09996982674762
1,12,Calf,31,all,9775.091124941373,2372.305720161486,315.3255201593991,76.52599097295116
1,12,Calf,31,Rs,9106.243310286149,831.0001891545634,293.749784202779,26.806457714663335
1,12,Calf,31,Vt,9076.986244765163,786.7024049722397,292.8060078956504,25.37749693458838
1,12,Calf,31,pctO2,8755.069022542923,1669.7225585050694,282.42158137235236,53.86201801629256
