age_yrs,Vt_mean,Vt_sd,quant025,quant975
0,18.017487489072934,0.6010879621816485,17.07479810738714,18.9267472136071
0.04246575342465753,23.037072148525834,0.7269532649309123,22.06939182336322,24.07901313707375
0.08493150684931507,27.828842070938475,0.8976489210553871,26.907298942124356,29.571655338180193
0.1232876712328767,32.75577340188456,1.089729894009415,31.300282367971253,34.45779884432399
0.16164383561643836,37.7975257789212,1.1041156541459156,36.737179459560735,39.42921249441492
0.20410958904109588,44.561075124747695,0.8055289617541989,43.28247424136173,45.62218474774227
0.2465753424657534,48.6459078000443,0.8596215242509399,47.36795682112947,49.48772474720192
0.2876712328767123,55.79054284341489,1.7044798866547617,52.659308179742546,57.66062643230036
0.3287671232876712,61.11170464072781,1.3700373353442996,58.82504137955408,63.10867243823965
0.37123287671232874,66.10876996223332,2.528474386134132,62.96147547024951,70.43627753554512
0.4136986301369863,70.21655312708172,2.318213234192302,66.45140221403408,74.19040125906858
0.4547945205479452,77.61468955563208,1.6096553136616703,76.06587705302664,80.71020114924892
0.4958904109589041,81.877519053338,1.6189532752693885,80.01743835203455,84.81244047461524
0.5383561643835616,86.50740608402005,1.572908802720882,84.28557024754605,89.26696820404237
0.5808219178082191,91.09866119078073,1.5084226912760716,89.2356326444764,93.90726803368992
0.6232876712328768,96.16898384257667,1.3963879585246255,94.92346857574289,98.85294043959885
0.6657534246575343,100.26017748903011,2.0157573750395987,97.75698202307609,103.92810786270654
0.7068493150684931,104.82899896666827,1.9827477559129096,102.57183235334851,108.56722165329585
0.7479452054794521,107.87749211376973,1.5597281543613146,105.2845735615867,109.89542237859584
0.7904109589041096,112.24833737582149,1.8041064150939417,109.57077907841007,114.85790934132132
0.8328767123287671,113.81123201694294,4.201292283661803,107.66571479450698,118.86181830756288
0.873972602739726,115.60578143741847,2.8043202409234818,110.87245836190695,119.20652075261808
0.915068493150685,117.39333621061115,4.934509949211697,110.48366845996264,125.65312479039538
0.9575342465753424,119.6207420866865,3.7271588435218725,114.11386625478728,125.72649152454926
1,120.97353950203261,3.312825154923609,115.25139813162104,124.33585172319653
2,153.2326970228601,2.7480071728181326,148.2259457659233,156.01832618703997
2.5,169.51767578753515,2.5779319643865657,164.82061284981904,172.1307839588524
3,185.3670317622626,2.5250547296306154,180.76620947315683,187.9264744303793
3.5,200.68413409043404,2.564206217441676,196.01191939602964,203.2832253585068
4,215.3954488394119,2.6853691646921494,210.50244292513617,218.1173375600296
4.5,229.45393540149823,2.8447120697972017,224.27058601470412,232.33733071603814
5,242.82741465009343,3.0223853752989345,237.32033056187336,245.89090178533445
5.5,255.50314484026774,3.169398143159253,249.72818556660116,258.7156417646715
6,267.46770223657757,3.329024338575313,261.4018917141074,270.8419983426502
6.5,278.7368728657268,3.41195654341041,272.5199336515289,282.1952172966189
7,289.3189560113662,3.4376929849897513,283.0550906332135,292.803366257603
7.5,299.21339467913555,3.5308809607130716,292.77972287970965,302.7922545107948
8,308.46854431837784,3.509911103389621,302.0730439645813,312.0261246952233
8.5,317.09251415049806,3.4968558998322545,310.7207705404695,320.63684161740434
9,325.1179992417632,3.4601908844036258,318.81303004775873,328.62514178910294
9.5,332.5693852976384,3.436526750675372,326.3075082839193,336.0525249165839
10,339.4883617573074,3.3493808018929476,333.38523783877736,342.88314736339703
10.5,345.89342892137904,3.2833534042347745,339.91058635765864,349.22127166374935
11,351.8202232401253,3.204130969858963,345.9817061473334,355.0677495839613
11.5,357.2952123514752,3.136378855296187,351.58012564685384,360.4740518238523
12,362.3512187054908,3.0559024400022925,356.78274857058386,365.4484747755098
12.5,367.0132266121306,2.9848772764848928,361.5741556638471,370.03848147751796
13,371.30827421024316,2.923566223793959,365.98090543279716,374.27137606370786
13.5,375.2615833097826,2.875988566182835,370.02089585982446,378.1764540961949
14,378.9005912189639,2.8223267617555914,373.7576719076022,381.76106463257724
14.5,382.24338832316215,2.7966982034206826,377.1471605996051,385.0778806468546
15,385.3141345883617,2.78317294624334,380.24254634643376,388.1349145626008
15.5,388.1334355419138,2.780785007987594,383.06619450977814,390.95179260652134
16,390.7226265373372,2.7748709581541315,385.6661578447377,393.5349867626362
16.5,393.0951028933834,2.7956261977106136,388.0008139744405,395.92849922815515
17,395.27087349662935,2.820581257486102,390.13111231550334,398.1295631676078
17.5,397.2657120329561,2.8478980800545157,392.07617558688355,400.1520891557658
18,399.09170841748465,2.893056140926073,393.81988936708825,402.0238576064714
18.5,400.7632740766885,2.948869468712079,395.38975842644874,403.75199611869544
19,402.29544703330464,2.997244308567997,396.83378841475354,405.3332022655312
19.5,403.697784428018,3.0507176310028634,398.138693611394,406.7897411274454
20,404.98071052754,3.110125191718433,399.31337559739325,408.13288418550303
20.5,406.15499817145275,3.1684473831014883,400.38139717101967,409.3662889133906
21,407.23009294407666,3.222475627977172,401.35804996079224,410.49614848985885
21.5,408.21255806858176,3.283703691879253,402.22895540271026,411.5406768492511
22,409.111095510384,3.3447355862405765,403.01629108421446,412.50107900102165
22.5,409.93253935562944,3.406678076104711,403.7248745698273,413.38531092095286
23,410.68476536711603,3.4597490025581363,404.38040458906255,414.1913324761353
23.5,411.371059790367,3.5217430138263657,404.9537457382154,414.94046781980455
24,411.9991532110879,3.577045292969284,405.48107854250685,415.62461920746114
24.5,412.5750457316031,3.618729656968811,405.98102225764194,416.2427656972377
25,413.09872010407383,3.677995517630495,406.3967152692949,416.82651635671743
25.5,413.5784891131458,3.72684702363308,406.78747786865716,417.3558050038061
26,414.0175014678829,3.770017495933249,407.14783471027494,417.838578376805
26.5,414.41827478076266,3.814373492426209,407.4677928227108,418.2843146488392
27,414.7848908977689,3.854119306651793,407.761993501202,418.69122055974833
27.5,415.1191547641373,3.8971389658595634,408.01787742770273,419.06909308355046
28,415.4251527474421,3.9340557749826064,408.25661471070816,419.41251339110715
28.5,415.70448741713255,3.9708848682960163,408.4688486978365,419.72918159999256
29,415.96024722892173,4.002063534835008,408.66780267651484,420.01654717414857
29.5,416.1941761713634,4.0299002669304045,408.85101468136213,420.2786942127419
30,416.40667184775066,4.06471517407843,409.0000798928724,420.5264819620682
30.5,416.6010651392323,4.0956600035193444,409.13809384351424,420.7522442695161
31,416.7791048169618,4.121688264217652,409.2687118731972,420.95666902760286
31.5,416.9420620306524,4.144095432693465,409.3908448462702,421.1423406099659
32,417.0901615238561,4.170499399648062,409.490838402221,421.31720618342223
32.5,417.2261821947224,4.190236071761184,409.5909004037944,421.47323419206396
33,417.3499969563779,4.211842864199105,409.6753493968921,421.6189521317859
33.5,417.4633293022341,4.230517296497368,409.7546585136848,421.75121508756797
34,417.5671134068892,4.246268323953024,409.8297455922849,421.87096629875987
34.5,417.6611737673097,4.26617294709908,409.88754156763844,421.9852044311615
35,417.74792159423566,4.27905335478515,409.95082243529,422.08500939224143
35.5,417.82652916630013,4.295503639266894,409.99945916255444,422.1802930292345
36,417.8988046474799,4.307601654842912,410.0496931964129,422.2648325583827
36.5,417.96452651557263,4.320977399400005,410.0910457724821,422.34411377608643
37,418.0246663750682,4.332714780436677,410.12980128685354,422.4161521385138
37.5,418.0796413938098,4.343383518342554,410.16533893471865,422.48194235552864
38,418.12984681155615,4.353409639236989,410.19727778087855,422.5423115427412
38.5,418.17556397882174,4.363732672058609,410.22418746158615,422.5984934860534
39,418.2174262798687,4.372625649272103,410.24984769052116,422.64937087346743
39.5,418.25569253943655,4.380710627431653,410.27338397460824,422.6958331303147
40,418.2906067260575,4.388505871914789,410.2940960623661,422.7386496101389
40.5,418.3225692648731,4.395265154217117,410.3137439149598,422.7774642540216
41,418.35162826549976,4.402492827500131,410.3296348914889,422.813850196007
41.5,418.37834636446263,4.40799658799503,410.34632573633485,422.84614764064656
42,418.4026275299304,4.413970589532056,410.35972293684205,422.8764848620252
42.5,418.4248020189411,4.41954488439087,410.37174168692565,422.9043102134461
43,418.4451438332334,4.424115755231461,410.3837558845421,422.92928568095516
43.5,418.4637619917304,4.42810441418621,410.3951071508778,422.95194728353755
44,418.48063766457693,4.4327112634982555,410.40358967314705,422.9734930918734
44.5,418.49600905914355,4.437275927726922,410.41064477979364,422.9934918613983
45,418.51016547521203,4.440701992183839,410.41855929844985,423.01112140633813
45.5,418.523129254588,4.443653309551737,410.42614611412273,423.02707704506156
46,418.53480764335495,4.447515760698406,410.43078757413525,423.0426709540007
46.5,418.54563305255857,4.449996125777812,410.43709404304894,423.0560108021586
47,418.55541733319893,4.453013881255333,410.4413803305832,423.06885430149816
47.5,418.564409619817,4.455424739663118,410.4459803160185,423.0802905693995
48,418.5726610739648,4.45739805649135,410.45063661630843,423.0905424504879
48.5,418.58012867280945,4.459706750617966,410.4538980497709,423.10035046558863
49,418.58696028276046,4.461768557172165,410.4569732940986,423.10927221194396
49.5,418.5931616308409,4.463942275004019,410.45921439100545,423.11767714763647
50,418.5988238104976,4.465964691867799,410.4611919723719,423.1253895353818
50.5,418.60410370387876,4.467088243069446,410.4644248856717,423.1318084154359
51,418.6088842015322,4.468423274556324,410.46677311522126,423.1379422883348
51.5,418.6132182981634,4.469882756327565,410.46844821301966,423.14375592232443
52,418.6171961095562,4.471100117930369,410.4702081382971,423.1489678232268
52.5,418.62078799902406,4.472511517419527,410.47122863120836,423.153990508462
53,418.6240963949404,4.4736237419066684,410.47251068944774,423.1584264129038
53.5,418.6271344129544,4.474540314764535,410.4738788224396,423.16239359867313
54,418.62988248019366,4.4755731830878505,410.47474513046427,423.16618872854207
54.5,418.6324510497829,4.476123637588229,410.4763108363794,423.16931531524676
55,418.63471803193914,4.4771804162170294,410.476652499475,423.17265360009026
55.5,418.6368321174564,4.477854798444104,410.4775379426646,423.17545133512243
56,418.63876304053906,4.478478799490921,410.47833201191804,423.17801483428514
56.5,418.64050960087434,4.4791736400652304,410.47881265868017,423.18046578450867
57,418.6421200742078,4.479710085937218,410.4794457932628,423.1826200757081
57.5,418.64357970042823,4.480284127478745,410.47985958683387,423.18466163264077
58,418.6449294750264,4.480699652177515,410.4804523260153,423.1864326420358
58.5,418.6461435196833,4.481213677390809,410.4807298806764,423.18816777647424
59,418.6472536945719,4.481678795316135,410.4809926685564,423.18974946168817
59.5,418.64827258569505,4.482074136103793,410.4812912977354,423.19116912687866
60,418.649198013979,4.482474851632375,410.4814866722974,423.192500778054
60.5,418.65005752546216,4.482746194545535,410.4818518301561,423.1936353613018
61,418.65082726838085,4.483102668814816,410.48197212159465,423.19476647792817
61.5,418.6515356382954,4.483394617326572,410.4821485976609,423.1957708087991
62,418.65217838024773,4.483693299807355,410.48224717756324,423.1967163383895
62.5,418.6527721861676,4.4839220970043145,410.48242414337085,423.197542085956
63,418.65331693956114,4.484116851807808,410.4826140775594,423.19828427067284
63.5,418.65379976379194,4.4843982736839045,410.4825841867839,423.1990523849529
64,418.6542497616321,4.484595188529264,410.48267543039736,423.1997020040433
64.5,418.6546650919591,4.484747022444011,410.4828141381182,423.20027125496745
65,418.6550417871927,4.4849055446699495,410.4829020256408,423.2008086511386
65.5,418.655383717468,4.485066438471877,410.4829508276116,423.2013136866012
66,418.65570187369656,4.485174419581014,410.48307225555845,423.20174130790394
66.5,418.6559905703808,4.485287303196361,410.48315529232923,423.2021444396277
67,418.6562518090343,4.485408354383062,410.4831959909138,423.20252839323706
67.5,418.65648235974686,4.485575401281089,410.48312220352994,423.2029282870475
68,418.65670214011527,4.4856655023429,410.4831778310006,423.2032394068111
68.5,418.6568973839239,4.4857864860535255,410.4831526578726,423.20355729730124
69,418.6570841481763,4.48583965325941,410.48324255793966,423.20379795937225
69.5,418.65724746339504,4.48593897547362,410.48322492070673,423.2040619620254
70,418.6573964682308,4.486031443495674,410.4832054605679,423.2043047058965
70.5,418.6575369482298,4.486086287077916,410.4832460223829,423.20450078322745
71,418.6576656367668,4.48613430130229,410.48328723495985,423.2046781458677
71.5,418.65777939532927,4.486204684581209,410.48327276414113,423.2048632551584
72,418.65788369699607,4.486266669765841,410.4832641366747,423.205030394016
72.5,418.65798045399424,4.4863134184959605,410.48327572337143,423.20517454228616
73,418.65806818308556,4.486360933568335,410.48327688601375,423.20531043954514
73.5,418.65814989976855,4.486393734147998,410.48329884412914,423.2054254076119
74,418.658222773546,4.486436148649027,410.48329444406954,423.20554127888903
74.5,418.65828787661246,4.486485209260058,410.4832701649869,423.2056561169544
75,418.65834968061876,4.486514153765607,410.48327923574277,423.2057472632933
