age_yrs,mean_masschange,sd_masschange,sex,age_mth
0,982.852238798869,27.098452260034936,N/A,0
0.084931507,515.1630830432028,10.503952756693396,N/A,1
0.161643836,505.4538665283667,16.273871920296855,N/A,2
0.246575342,576.5720471086285,17.54630504375054,N/A,3
0.328767123,553.7534264318919,12.32669617640835,N/A,4
0.41369863,551.479083524962,8.258851501671185,N/A,5
0.495890411,503.11958622131067,1.5935231711731115,N/A,6
0.580821918,481.7818757717418,1.0573806111197301,N/A,7
0.665753425,439.7956281609726,0.9992117735572471,N/A,8
0.747945205,384.88381210344886,3.058096598927116,N/A,9
0.832876712,306.498353927473,119.65294560426197,N/A,10
0.915068493,132.87280516721012,4.549020683159272,N/A,11
1,137.30885219081736,5.098793914198777,N/A,12
0,982.852238798869,27.098452260034936,Female,0
0.084931507,529.8391213432029,10.503952756693396,Female,1
0.161643836,519.8544055283667,16.273871920296855,Female,2
0.246575342,592.9985771086284,17.546305043750543,Female,3
0.328767123,569.5290214318919,12.32669617640835,Female,4
0.41369863,567.1891485249618,8.258851501671185,Female,5
0.495890411,517.4509342213108,1.5935231711731095,Female,6
0.580821918,495.50494377174203,1.0573806111197293,Female,7
0.665753425,452.3227541609726,0.9992117735572484,Female,8
0.747945205,395.8475551034482,3.058096598927117,Female,9
0.832876712,315.25078092747424,119.65294560426197,Female,10
0.915068493,136.6567691672094,4.549020683159273,Female,11
1,141.21907319081745,5.098793914198778,Female,12
0,982.852238798869,27.098452260034936,Male,0
0.084931507,506.957000543203,10.503952756693396,Male,1
0.161643836,497.40182952836653,16.273871920296852,Male,2
0.246575342,567.3871791086284,17.546305043750543,Male,3
0.328767123,544.932527431892,12.32669617640835,Male,4
0.41369863,542.6948265249617,8.258851501671185,Male,5
0.495890411,495.10623722131083,1.5935231711731088,Male,6
0.580821918,474.10864477174204,1.0573806111197277,Male,7
0.665753425,432.7911051609721,0.9992117735572484,Male,8
0.747945205,378.7534531034491,3.058096598927117,Male,9
0.832876712,301.60444992747347,119.65294560426197,Male,10
0.915068493,130.75700816720973,4.549020683159277,Male,11
1,135.12245719081764,5.098793914198777,Male,12
