age_yrs,Lifestage,Activity_stages,no_days,mean_bpm,se_bpm,mean_bpd,Vt_mean,Vt_sd,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975
0.08493150684931507,Calf,calving grounds,31,2.1399909982218017,0.005010972627583923,3081.5870374393944,22.880154526534625,0.5969786327327419,147.9843175248028,42.01001660609781,67.82253798854855,231.00905465001193,4587.513843268887,1302.310514789032,2102.498677645005,7161.28069415037
0.16164383561643836,Calf,calving grounds,28,1.5599936681359166,0.0040088761267434055,2246.3908821157197,33.00998557497967,0.869349143013892,155.63715236685644,44.18701019285922,71.30369916238918,242.94718338056796,4357.84026627198,1237.2362854000583,1996.503576546897,6802.521134655903
0.2465753424657534,Calf,calving grounds,15,1.3899940840489022,0.003006520550744139,2001.5914810304193,43.799245583794146,1.1885668250423478,184.0036750371335,52.25820428446951,84.2189828335593,287.28309018576056,2760.0551255570026,783.8730642670427,1263.2847425033892,4309.246352786408
0.2465753424657534,Calf,northbound,16,0.699997312496152,0.001002067726614515,1007.9961299944589,43.799245583794146,1.1885668250423478,92.66383831869778,26.31714812092104,42.434090638716526,144.7807093445841,1482.6214130991646,421.07436993473664,678.9454502194644,2316.4913495133455
0.3287671232876712,Calf,northbound,30,0.699997312496152,0.001002067726614515,1007.9961299944589,55.02181173507165,1.5716709190744795,116.40758589288242,33.08113795694049,53.29613646842083,181.76224810765405,3492.227576786473,992.4341387082147,1598.8840940526252,5452.867443229621
0.4136986301369863,Calf,northbound,31,0.699997312496152,0.001002067726614515,1007.9961299944589,66.03805952860637,1.5308515156770721,139.71092446420263,39.61590895540056,64.26768242598841,217.676425245783,4331.038658390282,1228.0931776174175,1992.2981552056406,6747.969182619273
0.4958904109589041,Calf,northbound,23,0.699997312496152,0.001002067726614515,1007.9961299944589,76.78190429397382,1.8522295450631114,170.18998613374396,41.53248777168456,90.97601498160836,252.37234329318574,3914.369681076111,955.2472187487449,2092.4483445769924,5804.563895743273
0.4958904109589041,Calf,nursing at foraging grounds,7,1.2199949508671362,0.003006624088986177,1756.792729248676,76.78190429397382,1.8522295450631114,296.6164096327201,72.38544344501815,158.61165431384933,439.6301635682069,2076.3148674290405,506.69810411512714,1110.2815801969452,3077.411144977448
0.5808219178082191,Calf,nursing at foraging grounds,31,1.2199949508671362,0.003006624088986177,1756.792729248676,86.81910139875124,2.050432764947743,335.3904916413795,81.82713259378845,179.23677839904954,496.9903993758755,10397.105240882765,2536.641110407442,5556.340130370536,15406.702380652137
0.6657534246575343,Calf,nursing at foraging grounds,31,1.2199949508671362,0.003006624088986177,1756.792729248676,96.16159391806364,1.8294248235670318,371.47495001647775,90.44212084945983,199.09343209526114,548.9430775541982,11515.72345051081,2803.7057463332544,6171.896394953095,17017.235404180148
0.7479452054794521,Calf,nursing at foraging grounds,30,1.2199949508671362,0.003006624088986177,1756.792729248676,104.75146841450042,1.9117109137721155,404.6566864565282,98.48974779875097,217.03847124501235,597.9322159082127,12139.700593695845,2954.6924339625293,6511.154137350371,17937.96647724638
0.8328767123287671,Calf,nursing at foraging grounds,20,1.2199949508671362,0.003006624088986177,1756.792729248676,112.21847650263898,2.01007482959111,433.5013079215499,105.4961084534084,232.5213111419106,640.3292758646938,8670.026158430997,2109.922169068168,4650.426222838212,12806.585517293875
0.8328767123287671,Calf,southbound post-weaning,11,0.7199972381205009,0.002004479765784353,1036.7960228935212,112.21847650263898,2.01007482959111,255.8367932255739,62.26016370581608,137.2476246795554,377.99509079089506,2814.204725481313,684.8618007639769,1509.7238714751095,4157.945998699845
0.915068493150685,Calf,southbound post-weaning,30,0.7199972381205009,0.002004479765784353,1036.7960228935212,116.04527628707216,4.020406518754431,264.57799729699076,64.97092023742522,140.47494849161086,394.29764041490375,7937.339918909723,1949.1276071227564,4214.2484547483255,11828.929212447112
1,Calf,southbound post-weaning,31,0.7199972381205009,0.002004479765784353,1036.7960228935212,119.09131818718222,4.5173035494868845,271.52622716966323,66.83260049794498,143.75706791277474,405.2379414259588,8417.31304225956,2071.810615436294,4456.469105296018,12562.376184204724
