age_yrs,Lifestage,Activity_stages,no_days,MC_variable,mean_bpm,se_bpm,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975
8,Pregnant,Southbound recently pregnant,31,all,0.7199973303439192,0.0020044912103815583,686.1065073581102,177.69183171956553,339.6216457144469,1040.2211558672489,21269.301728101418,5508.446783306531,10528.271017147856,32246.855831884714
8,Pregnant,calving grounds recently pregnant,51,all,0.6199981687779041,0.002004567699580897,590.8141398396856,153.0157317176128,292.4076403117948,896.0082518479584,30131.521131823967,7803.802317598253,14912.789655901532,45696.42084424588
8,Pregnant,foraging pregnant,153,all,1.339996661728431,0.0010019379297723514,1276.9240162030228,330.6824911803296,632.5079397311684,1938.55716295531,195369.3744790625,50594.42115059043,96773.71477886879,296599.24593216245
8,Pregnant,northbound pregnant,100,all,0.49999957105348425,0.00200467300671939,476.46365430467324,123.40518517918338,235.85437171866695,723.507182618754,47646.365430467325,12340.518517918339,23585.437171866695,72350.71826187539
8,Pregnant,southbound pregnant,61,all,0.7199973303439192,0.0020044912103815583,686.1065073581102,177.69183171956553,339.6216457144469,1040.2211558672489,41852.496948844724,10839.201734893497,20716.920388581264,63453.490507902185
8,Pregnant,Southbound recently pregnant,31,Rs,0.7199972381205009,0.002004479765784353,683.8016255164839,1.903710805525121,680.0193646198658,687.5864061961989,21197.850391011,59.01503497127875,21080.600303215837,21315.178592082164
8,Pregnant,calving grounds recently pregnant,51,Rs,0.6199980719729508,0.0020045557705490017,588.8296051508398,1.9037829893875888,585.0428904162052,592.6221683966088,30030.30986269283,97.09293245876702,29837.187411226463,30223.73058822705
8,Pregnant,foraging pregnant,153,Rs,1.339996627082015,0.0010019343446891883,1272.6324814483999,0.9515652245385346,1270.7511088407534,1274.5062972638784,194712.76966160518,145.5894793543958,194424.91965263526,194999.46348137342
8,Pregnant,northbound pregnant,100,Rs,0.4999994667908668,0.002004660753057895,474.86355509012174,1.9038826942287077,471.10625896637714,478.65920794159365,47486.35550901217,190.3882694228708,47110.62589663771,47865.92079415937
8,Pregnant,southbound pregnant,61,Rs,0.7199972381205009,0.002004479765784353,683.8016255164839,1.903710805525121,680.0193646198658,687.5864061961989,41711.89915650552,116.1263591370324,41481.18124181181,41942.77077796814
8,Pregnant,Southbound recently pregnant,31,Vt,0.7199972381205009,0.002004479765784353,683.7947879747538,10.078412674896295,663.8538822568878,703.5785200038212,21197.638427217367,312.43079292178516,20579.47034996352,21810.934120118458
8,Pregnant,calving grounds recently pregnant,51,Vt,0.6199980719729508,0.0020045557705490017,588.8237145762137,8.732317361661009,571.4888326261186,606.000279255447,30030.009443386894,445.3481854447115,29145.930463932047,30906.014242027795
8,Pregnant,foraging pregnant,153,Vt,1.339996627082015,0.0010019343446891883,1272.6197765631312,18.44518565283547,1235.9329159571023,1308.8632155478754,194710.82581415906,2822.113404883827,189097.73614143665,200256.0719788249
8,Pregnant,northbound pregnant,100,Vt,0.4999994667908668,0.002004660753057895,474.85880188094893,7.131519170418377,460.74115958362444,488.98510408166976,47485.880188094896,713.1519170418377,46074.11595836244,48898.51040816698
8,Pregnant,southbound pregnant,61,Vt,0.7199972381205009,0.002004479765784353,683.7947879747538,10.078412674896295,663.8538822568878,703.5785200038212,41711.48206645998,614.783173168674,40495.086817670155,42918.289720233086
8,Pregnant,Southbound recently pregnant,31,pctO2,0.7199973303439192,0.0020044912103815583,683.684507871379,167.83113289734536,349.68702491253043,1011.6161409691797,21194.21974401275,5202.7651198177055,10840.297772288444,31360.100370044573
8,Pregnant,calving grounds recently pregnant,51,pctO2,0.6199981687779041,0.002004567699580897,588.7285297535522,144.52466376699616,301.0759477888131,871.8246078243935,30025.155017431163,7370.757852116803,15354.873337229468,44463.05499904408
8,Pregnant,foraging pregnant,153,pctO2,1.339996661728431,0.0010019379297723514,1272.416434112308,312.3306006853203,651.2562920408645,1884.858072486496,194679.71441918312,47786.58190485401,99642.21268225227,288383.2850904339
8,Pregnant,northbound pregnant,100,pctO2,0.49999957105348425,0.00200467300671939,474.7817135976893,116.55773333952781,242.80358659610104,703.5107377453962,47478.17135976893,11655.773333952782,24280.358659610105,70351.07377453962
8,Pregnant,southbound pregnant,61,pctO2,0.7199973303439192,0.0020044912103815583,683.684507871379,167.83113289734536,349.68702491253043,1011.6161409691797,41704.75498015412,10237.699106738066,21330.908519664354,61708.58459911996
9,Pregnant,Southbound recently pregnant,31,all,0.7199973303439192,0.0020044912103815583,726.8448329011912,187.60083231901515,360.56734831018724,1100.2586629160924,22532.189819936928,5815.62580188947,11177.587797615804,34108.01855039886
9,Pregnant,calving grounds recently pregnant,51,all,0.6199981687779041,0.002004567699580897,625.8943767531656,161.54868602273038,310.44163660137275,947.7537078023264,31920.61321441145,8238.98298715925,15832.523466670009,48335.43909791864
9,Pregnant,foraging pregnant,153,all,1.339996661728431,0.0010019379297723514,1352.7427814255318,349.1229444385888,671.5171921656536,2050.415331053615,206969.64555810636,53415.81049910408,102742.13040134498,313713.54565120314
9,Pregnant,northbound pregnant,100,all,0.49999957105348425,0.00200467300671939,504.7542062023586,130.2869339549235,250.39748100346847,765.2398754819982,50475.42062023586,13028.693395492352,25039.748100346846,76523.98754819982
9,Pregnant,southbound pregnant,61,all,0.7199973303439192,0.0020044912103815583,726.8448329011912,187.60083231901515,360.56734831018724,1100.2586629160924,44337.53480697267,11443.650771459923,21994.608246921423,67115.77843788163
