age_yrs,mean_masschange,sd_masschange,sex
6,13441.211037549816,187.60348269963276,Female
8,1980.1726244017732,11.113604636339932,Female
10,1489.7551518404198,8.56825627281627,Female
12,1094.1568309084896,17.107140808612858,Female
14,791.1665439683659,13.04884306933874,Female
16,566.1810333908319,3.6406477615883728,Female
18,402.3398769291479,6.151555526304232,Female
20,284.5673560354602,11.893634968215528,Female
22,200.6725869329119,13.983510406083392,Female
24,141.18224041266876,12.948509150249523,Female
26,99.32825675171733,11.542129427797649,Female
28,69.68175072451488,9.170209772217056,Female
30,48.957546201217994,7.506497415004996,Female
32,34.38559148307112,6.016599710337062,Female
34,24.081581620377502,4.404114158929922,Female
36,16.962866121332393,3.6473175420782584,Female
38,11.871797618077272,2.5683821074156725,Female
40,8.36006798002056,2.012305958640916,Female
42,5.8660574817774656,1.4969731932033798,Female
44,4.125694365247828,1.0927737992404045,Female
46,2.8941508981388475,0.8056891848146079,Female
48,2.045886162233823,0.6486655591573698,Female
50,1.4352762283965101,0.43994382843771535,Female
52,1.0110168433750846,0.3262327218888702,Female
54,0.7105464208898215,0.23815281708380884,Female
56,0.5006160123513848,0.1759868936624112,Female
58,0.35248580698540316,0.12659622986957347,Female
60,0.24904738178622102,0.09567352533489923,Female
62,0.17599721552351913,0.07241350548476344,Female
64,0.12477329220968822,0.05242020332478836,Female
66,0.0872170369887077,0.03646624330849151,Female
68,0.06118273626113187,0.024221759210969036,Female
70,0.044105074501065246,0.021726115954629435,Female
72,0.030919495394366458,0.014572401511533767,Female
74,0.02179315070736593,0.010460230193355869,Female
