age_yrs,fit,mean,sd,median,median_abs_dev,2.5%,97.5%,length_plus_sd,length_minus_sd
0,4.604508880324415,4.586823751999401,0.04303220202342952,4.58977893736899,0.04005014180657298,4.493370783968276,4.663256670484414,4.6475410823478445,4.561476678300986
0.04246575342465753,4.971841019489369,4.954375592321001,0.04163720459069936,4.957797852021385,0.03802196728741947,4.862800512406109,5.0250788335186085,5.013478224080068,4.930203814898669
0.08493150684931507,5.3114688671221995,5.294077558336475,0.045192486779788654,5.299534097867035,0.03835988549171337,5.189142870471019,5.365944130486147,5.3566613539019885,5.26627638034241
0.1232876712328767,5.5961583058188245,5.578778576498288,0.04972882900933036,5.586359635182767,0.040615355549281175,5.456698951982638,5.6530831925005804,5.645887134828155,5.546429476809494
0.16164383561643836,5.861381455129184,5.843995298115835,0.053427930132459465,5.852798088688031,0.043503720072677846,5.713240358695132,5.922023155655143,5.914809385261643,5.807953524996725
0.20410958904109588,6.133919917077982,6.116465540140698,0.05723757169111772,6.127505426571119,0.04627037957326635,5.976218532045557,6.197728651761266,6.191157488769099,6.076682345386865
0.2465753424657534,6.385903452848225,6.368369938104982,0.05992186762548723,6.380197290135557,0.04844396409612738,6.221211556577832,6.452844214725146,6.445825320473712,6.3259815852227375
0.2876712328767123,6.61164854303326,6.594046325446565,0.060742059189650394,6.605666080009771,0.049944130364523984,6.441815368216322,6.681815135092662,6.672390602222911,6.550906483843609
0.3287671232876712,6.820896510038214,6.803206147018592,0.06178816873140234,6.814171381602996,0.051192191844105166,6.656404062857698,6.890440624380209,6.882684678769616,6.759108341306812
0.37123287671232874,7.021068081164195,7.003292218069368,0.06108906537427055,7.014519424411459,0.05019595461163639,6.851408673625095,7.091957037719089,7.082157146538465,6.959979015789925
0.4136986301369863,7.206142657032632,7.1882745198837,0.06098337515512108,7.199038861668247,0.04984727240528921,7.039489362543305,7.277120263930815,7.267126032187753,7.14515928187751
0.4547945205479452,7.371945857994426,7.354046775756491,0.05868700504582616,7.363669011784005,0.04827643524553252,7.2104422899759655,7.442433496244523,7.430632863040252,7.3132588529486
0.4958904109589041,7.525632401944204,7.50770570380989,0.05700723975567802,7.516050943460925,0.04645604212910657,7.371508316122459,7.5950361226544665,7.582639641699882,7.468625162188526
0.5383561643835616,7.67265259718759,7.654770489809642,0.054520272038736065,7.661635078390855,0.04581561066969459,7.524011782764549,7.7409148705397435,7.727172869226326,7.618132325148855
0.5808219178082191,7.808584488643041,7.790759983175866,0.05244922905635257,7.7962584585879355,0.04411499344997364,7.668573136765414,7.875804587730806,7.861033717699394,7.756135259586689
0.6232876712328768,7.934264359249035,7.91645438362604,0.05065707850581336,7.920522990649984,0.0443883765011251,7.803624077358981,8.001737528590121,7.984921437754848,7.883607280743221
0.6657534246575343,8.05046541925353,8.03281554930495,0.0488863842095726,8.036000754436165,0.045148200468305984,7.927458457871799,8.118485823563136,8.099351803463103,8.001579035043958
0.7068493150684931,8.15456673956451,8.137016310307464,0.04812147968546057,8.13974172663223,0.04432232673255094,8.036803179286856,8.222981701448761,8.202688219249971,8.106445259879049
0.7479452054794521,8.251060486647775,8.23363295453347,0.048151488399104256,8.236041868250913,0.04447759614224075,8.132317119488802,8.319875593657285,8.29921197504688,8.20290899824867
0.7904109589041096,8.343368695104747,8.326198913929089,0.04859053913538478,8.328956310441905,0.04564934022694283,8.222132304406582,8.41467689126424,8.391959234240131,8.294778155969363
0.8328767123287671,8.40327634641469,8.384771086907403,0.10520069105743397,8.394617364113232,0.09818491466119539,8.15092643111237,8.56097909621747,8.508477037472124,8.298075655357257
0.873972602739726,8.435816929927368,8.417464599594535,0.1029172311210773,8.426791500955229,0.09777422775168176,8.19079608294357,8.593382884078636,8.538734161048446,8.33289969880629
0.915068493150685,8.468117558058417,8.449903295068712,0.10143767822129453,8.458254061537836,0.09673293611140872,8.222349589612449,8.624044577959657,8.569555236279712,8.366679879837122
0.9575342465753425,8.501244666767517,8.483183766149075,0.0991965332305547,8.4909718529262,0.09430557056010588,8.267569050739432,8.657073730727541,8.600441199998071,8.402048133536963
1,8.534119383453667,8.516207187721795,0.09754608841320513,8.524937131968368,0.09358456818953655,8.297614924500085,8.683207146094345,8.631665471866873,8.436573295040462
1,8.534119383453667,8.51620998312953,0.09742752486494359,8.522734316496846,0.09289393069642164,8.299963927192099,8.686235935003449,8.631546908318612,8.436691858588723
1.05,8.572505787806389,8.554746037269851,0.09620201419476883,8.562542232068541,0.09009510575214354,8.341754769816527,8.720141848893714,8.668707802001158,8.476303773611619
1.1,8.610548074900464,8.59297543338001,0.09356011672396494,8.600364469131227,0.0890369062874554,8.387510830497153,8.755749131585674,8.70410819162443,8.516987958176498
1.15,8.648249329596007,8.630831926458985,0.0919210169913239,8.637449782894798,0.08802872872619104,8.425132521281913,8.790369278786617,8.74017034658733,8.556328312604684
1.2,8.685612609098715,8.668361464124576,0.0895224046494344,8.675207966599938,0.08517830614258559,8.474310808941729,8.827022110855099,8.77513501374815,8.59609020444928
1.25,8.72264094320778,8.705545700703654,0.0881095131880552,8.712629775911434,0.08395143290508457,8.514189075038145,8.860640478701008,8.810750456395835,8.634531430019726
1.3,8.759337334561573,8.742381065147994,0.08674882282591126,8.749282657957895,0.08211427004289812,8.553994325176115,8.893763340634193,8.846086157387484,8.672588511735663
1.35,8.795704758881131,8.778919475054707,0.08426633118033937,8.78412432198471,0.08061937693395967,8.592648899388385,8.926943041928435,8.87997109006147,8.711438427700791
