phase,age_yrs,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Hg,sd_Hg,P_nb,GERcalf_0to6m,mass,mass_sd,pctbodywt,pctbodywt_sd
Pregnant,26,P_nb,2074.316535992859,2.393875321672176,2069.6499693899523,2079.0190420655067,5368.819269628576,6.195912597269171,5356.741097244581,5380.990461816605,1851.3169895270953,2.136521585265232,1847.1521024981316,1855.5139523505534,71801.32207843156,0,17050.17082229927,100760.936763343,20893.09355075123,0,8.860904130975518,0.010225970510663847
Pregnant,26,P_cost,2074.3014519909607,0.37461095904235187,2073.5566446731423,2075.0366688334166,5368.780228682487,0.9695813057566852,5366.85249209519,5370.68314286296,1851.3035271318922,0.33433838129540927,1850.638790377652,1851.9597044355035,71801.32207843156,0,17045.4799528212,100760.936763343,20893.09355075123,0,8.86083969630877,0.0016002339743670393
Pregnant,26,Es,2074.1399280425735,234.5117832322648,1607.879964071624,2534.3961181641134,5368.362166698425,606.9716742482149,4161.571671714792,6559.613482307118,1851.1593678270435,209.30057732697063,1435.0247143844108,2261.9356835541785,71801.32207843156,0,17045.4799528212,100760.936763343,20893.09355075123,0,8.86014971086215,1.0017692057835306
Pregnant,26,E_FnU,2077.8328516808942,88.29842459002656,1938.4319338146186,2230.4600440075214,5377.92032199761,228.53709893889229,5017.117946343718,5772.955408019468,1854.4552834474516,78.80589618582492,1730.0406711530063,1990.674278627403,71801.32207843156,0,17045.4799528212,100760.936763343,20893.09355075123,0,8.87592485499005,0.3771863462650862
Pregnant,27,all,2080.4159838048563,253.38105188591607,1587.6715931508052,2584.1380453859388,5384.606075730217,655.8097813517828,4109.267652860908,6688.357293940078,1857.180579140461,228.15422063418083,1417.1129809203417,2313.231511225753,71821.90167001274,2316.8662347514623,17039.538012401998,100761.62710366643,20930.074496958354,219.20218161446832,8.863621071507863,1.0044224784824831
Pregnant,27,Hg,2076.969777513073,7.32249350435349,2062.7509236735837,2091.4100029496703,5375.686482975013,18.95233612891492,5338.884743625746,5413.0611841050295,1853.6849941293149,6.535288320315489,1840.9947391812918,1866.5728221051827,71821.90167001274,2316.8662347514623,17045.4799528212,100760.936763343,20930.22571772149,0,8.856497866431567,0.031224165512854937
Pregnant,27,GER_calf,2076.904735378393,0,2076.904735378393,2076.904735378393,5375.518138626429,0,5375.518138626429,5375.518138626429,1853.6269443539413,0,1853.6269443539413,1853.6269443539413,71801.32207843156,0,17045.4799528212,100760.936763343,20930.22571772149,0,8.85622051741414,0
Pregnant,27,P_nb,2076.9195609478493,2.393875321672175,2072.2529943449426,2081.6220670204966,5375.5565106885515,6.1959125972691576,5363.478338304557,5387.72770287658,1853.6401760995004,2.136521585265226,1849.475289070537,1857.8371389229585,71801.32207843156,0,17050.17082229927,100760.936763343,20930.22571772149,0,8.856283735774694,0.010207828687945042
Pregnant,27,P_cost,2076.9044993020098,0.34220471616710313,2076.2241225787952,2077.5761151872925,5375.517527605202,0.8857063241971991,5373.756552556882,5377.2558275435795,1853.6267336569663,0.3054159738611036,1853.0195008816834,1854.2261474288205,71801.32207843156,0,17045.4799528212,100760.936763343,20930.22571772149,0,8.856219510750485,0.0014592101297909547
Pregnant,27,Es,2076.7424384760325,235.2576083418407,1608.9996134567957,2538.4623956573732,5375.098076055614,608.9020451200582,4164.46958777053,6570.137965230847,1853.482095191591,209.9662224551925,1436.0239957829415,2265.564815596844,71801.32207843156,0,17045.4799528212,100760.936763343,20930.22571772149,0,8.855528460078954,1.0031722795871019
Pregnant,27,E_FnU,2080.440307837366,88.40922959083197,1940.8644568520888,2233.2590308311287,5384.669032049654,228.82388835274156,5023.4138883230535,5780.199844504096,1856.7824248447082,78.90478908715227,1732.211685628639,1993.1723601738263,71801.32207843156,0,17045.4799528212,100760.936763343,20930.22571772149,0,8.871296706908335,0.3769896710685928
Pregnant,28,all,2082.6274204939114,254.0147127502306,1588.4815462997913,2587.6375413252035,5390.329794219535,657.4498447653027,4111.364002187695,6697.414812841702,1859.1547914164034,228.71979050414987,1417.9626327660694,2316.3547024686322,71821.90167001274,2316.8662347514623,17039.538012401998,100761.62710366643,20961.125798095894,223.7251370416197,8.859715760033959,1.0039019363724604
Pregnant,28,Hg,2079.1776431764933,7.322493504353492,2064.958789337004,2093.6178686130906,5381.400958809747,18.952336128914926,5344.5992194604805,5418.775659939764,1855.655503037844,6.535288320315494,1842.9652480898208,1868.5433310137118,71821.90167001274,2316.8662347514623,17045.4799528212,100760.936763343,20961.280139105216,0,8.852777553294306,0.03117790648732043
Pregnant,28,GER_calf,2079.112601041814,0,2079.112601041814,2079.112601041814,5381.232614461165,0,5381.232614461165,5381.232614461165,1855.5974532624707,0,1855.5974532624707,1855.5974532624707,71801.32207843156,0,17045.4799528212,100760.936763343,20961.280139105216,0,8.852500615173216,0
Pregnant,28,P_nb,2079.1274266112696,2.3938753216721764,2074.460860008363,2083.8299326839165,5381.2709865232855,6.19591259726917,5369.192814139292,5393.442178711314,1855.6106850080296,2.136521585265231,1851.445797979066,1859.8076478314877,71801.32207843156,0,17050.17082229927,100760.936763343,20961.280139105216,0,8.85256373987491,0.010192705651022486
Pregnant,28,P_cost,2079.112376759792,0.3251081893373558,2078.465991616334,2079.750438756248,5381.23203396652,0.8414564900496241,5379.55903712463,5382.883488545583,1855.5972530919034,0.2901574103619403,1855.0203576291826,1856.1667201881319,71801.32207843156,0,17045.4799528212,100760.936763343,20961.280139105216,0,8.852499660219292,0.0013842542460974188
Pregnant,28,Es,2078.9498520656443,235.91291230265904,1609.9041415497816,2541.9559182015996,5380.811381816961,610.5981259598234,4166.810719305317,6579.180023580611,1855.4522006265386,210.5510779171805,1436.8312825190749,2268.6827667519347,71801.32207843156,0,17045.4799528212,100760.936763343,20961.280139105216,0,8.851807658278561,1.0044762367560647
Pregnant,28,E_FnU,2082.6519320116613,88.50321353675788,1942.9277041058715,2235.633109838078,5390.393235794888,229.06714091866746,5028.754057685785,5786.344519580908,1858.7562882051336,78.98866928229913,1734.0531233399256,1995.2912136485888,71801.32207843156,0,17045.4799528212,100760.936763343,20961.280139105216,0,8.867570472174794,0.37683132307810924
