Lifestage,age_yrs,mean_GER,GER_sd,GER_foraging,sd_foraging,FR_foraging,FR_sd_foraging,pctbodywt,pctbodywt_sd
Juvenile/Adult,1,596.338708968851,73.50608150272069,596.338708968851,73.50608150272069,48.14109575019981,6.327452681124004,,
Juvenile/Adult,2,524.6561091140928,57.61249404731718,1243.5031157574278,136.54909303422576,428.404026048784,42.94816338954605,5.576521476451825,0.4919251343170116
Juvenile/Adult,3,623.82289037373,68.60963932322818,1478.541266145529,162.61375553882004,509.3903874459943,51.29140941054876,5.526187057836888,0.506213390451014
Juvenile/Adult,4,715.6073988889522,79.69413946576285,1696.0824713926463,188.88546042210024,584.3360269144724,59.70413022861817,5.488292292962708,0.5152665917293251
Juvenile/Adult,5,798.8244352865653,90.28242141943646,1893.317655062314,213.98106375385913,652.2788788232195,67.74100865232008,5.459396700867099,0.5218373618797767
Juvenile/Adult,6,873.044524578483,99.77459813408504,2069.2289056567943,236.47875531779897,712.8764337246655,74.95461763425163,5.4370339610893685,0.5268124925464432
Juvenile/Adult,7,938.3984858987546,108.06538241192982,2224.126281513282,256.12899078152196,766.2370069217479,81.2637143436154,5.419558911729318,0.5320761474937998
Juvenile/Adult,8,995.3785237571444,115.35134899583272,2359.1763712425827,273.3976778147983,812.7599111907508,86.81110332395077,5.405575025993582,0.536553971109439
Juvenile/Adult,9,1044.6481077321273,121.57943435209664,2475.9516839105613,288.1590489513979,852.988906167728,91.55821861453724,5.394303032090317,0.5408574876264047
Juvenile/Adult,10,1087.0119237862648,126.9608409001331,2576.3594297531604,300.9136813542116,887.5791080974989,95.66157347720448,5.385257560167845,0.5450078043540785
Juvenile/Adult,11,1123.229407629378,131.50291521229977,2662.1995700306693,311.6789873538274,917.1519361998864,99.12830715938244,5.377857842228053,0.5485510377701176
Juvenile/Adult,12,1154.0836986878662,135.3580308857631,2735.3282468900725,320.8161121643086,942.3459092878754,102.07240045028628,5.371847505436354,0.5515644393601764
Juvenile/Adult,13,1180.2751284590463,138.6026768324553,2797.405336932155,328.5063444405596,963.7329978279438,104.5520516296959,5.366915588318645,0.5539491096399414
Juvenile/Adult,14,1202.4576566253004,141.35624254524686,2849.9808095339913,335.03265278581233,981.8465310494868,106.65684545712372,5.3628864141923644,0.5558081243082471
Juvenile/Adult,15,1221.2004616210936,143.67595896957351,2894.40369150454,340.5306819733398,997.1514674166184,108.43065487679657,5.359545875404341,0.5568851270313354
Juvenile/Adult,16,1237.0167699461747,145.7010086566638,2931.8903963009984,345.33031272520964,1010.0656072138628,109.977161283577,5.35681717742119,0.5577939393419037
Juvenile/Adult,17,1250.3389006903494,147.45291101876853,2963.4655763115425,349.48254884318516,1020.9424825565848,111.31374423970207,5.3545397403367225,0.5582471363695262
Juvenile/Adult,18,1261.5492886052966,148.97621244103334,2990.0356515645017,353.0929710453063,1030.094421261934,112.47448665866528,5.352660820174354,0.5585036704535614
Juvenile/Adult,19,1270.9794681448634,150.332815492581,3012.386401771917,356.30829645968873,1037.791793312948,113.50599821578064,5.351119733420052,0.5586139175542209
Juvenile/Adult,20,1278.895907794502,151.46896956036562,3031.1493918506053,359.0011291528146,1044.253636534835,114.37005227057487,5.349836270529459,0.5584842867888533
Juvenile/Adult,21,1285.5417838745473,152.43823565969123,3046.900981261102,361.2984156869305,1049.6781308593484,115.10680269657354,5.348789108975723,0.5582871236542056
Juvenile/Adult,22,1291.1148525890758,153.28725429726285,3060.1098778896926,363.310700120136,1054.22637932088,115.75120091075313,5.347907816885169,0.5580154723096323
Juvenile/Adult,23,1295.7890263259685,153.99107685033934,3071.188276681678,364.97885097645366,1058.0411815576017,116.28565848219654,5.3471945800541345,0.5576635273500308
