age_yrs,age_mth,Lifestage,no_days,Es,Es_sd,Es_perday,Es_sd_perday
0.08493150684931507,1,Calf,31,4587.513843268887,1302.310514789032,147.9843175248028,42.01001660609781
0.16164383561643836,2,Calf,28,4357.84026627198,1237.2362854000583,155.63715236685644,44.187010192859226
0.2465753424657534,3,Calf,31,4242.676538656167,889.8093087281895,136.86053350503767,28.703526088006114
0.3287671232876712,4,Calf,30,3492.227576786473,992.4341387082147,116.40758589288244,33.08113795694049
0.4136986301369863,5,Calf,31,4331.038658390282,1228.0931776174175,139.71092446420263,39.61590895540056
0.4958904109589041,6,Calf,30,5990.684548505152,1081.3141160833316,199.68948495017173,36.04380386944438
0.5808219178082191,7,Calf,31,10397.105240882765,2536.641110407442,335.3904916413795,81.82713259378845
0.6657534246575343,8,Calf,31,11515.72345051081,2803.7057463332544,371.47495001647775,90.44212084945983
0.7479452054794521,9,Calf,30,12139.700593695845,2954.6924339625293,404.6566864565282,98.48974779875098
0.8328767123287671,10,Calf,31,11484.23088391231,2218.2892610457725,370.4590607713649,71.55771809825073
0.915068493150685,11,Calf,30,7937.339918909723,1949.1276071227564,264.57799729699076,64.97092023742522
1,12,Calf,31,8417.31304225956,2071.810615436294,271.52622716966323,66.83260049794497
