age_yrs,Vt_mean_f,Vt_sd_f,quant025_f,quant975_f
0,18.736553788726283,0.39792146523033983,18.276453535194317,19.37306991790858
0.08493150684931507,29.45986281451063,0.7658889865741123,28.310647439129678,30.318540398494708
0.16164383561643836,39.090274385675684,1.2346888581293427,37.16546501790026,41.09462100303331
0.2465753424657534,51.365992167859574,0.9028932438625189,50.344742621877586,52.98729668248477
0.3287671232876712,62.55182076991138,1.1796720022397014,60.68680576771361,64.2235661714022
0.4136986301369863,73.03384117059821,2.0676259969039394,70.77337824743479,76.1021180864657
0.4958904109589041,83.87785558559466,1.9220349969899604,81.86986030883595,87.22775205229811
0.5808219178082191,94.04711733632928,1.9638265063085225,91.35050360640227,96.8634429516801
0.6657534246575343,103.10576045794107,2.135768255040894,100.94956006498404,107.48945852084539
0.7479452054794521,111.99828246959864,1.7855855407472652,109.66586184086545,114.64989444468699
0.8328767123287671,117.44378823631804,3.7084476033199905,111.88239696442861,122.33140109197403
0.915068493150685,121.15805434851437,3.0855119115895118,115.45334670647019,124.3785880343857
1,123.25447247711448,5.4313270206739555,116.05137608482943,129.6397767097429
2,157.78734805952962,2.7511244649628175,152.7748818287577,160.57611430386498
3,190.873135097077,2.5279127204137186,186.26708076512597,193.4354587574939
4,221.7923569855485,2.6884068039599023,216.8937922930005,224.51730917388002
5,250.03898620064922,3.02580420497874,244.52564581125569,253.105921262813
6,275.41104923809945,3.332790028489762,269.3383476765973,278.78914308369076
7,297.91049175402924,3.4415804719038072,291.6395137923788,301.3988234368826
8,317.62802057044786,3.5138792340593357,311.2252613044923,321.1896045179584
9,334.7707446848695,3.464101332568844,328.45862384965585,338.281833736483
10,349.56653894758847,3.353164520270428,343.45649694709095,352.96514431520984
11,362.26324961433687,3.207749204442562,356.4181186760528,365.51442973813647
12,373.10570141576625,3.059352107134273,367.5309269751212,376.20644195518537
13,382.3276343517396,2.9268655650371582,376.9942371119931,385.2940695573799
14,390.14452147259885,2.8255111648797118,384.99578453150264,393.008212646625
15,396.7479838200911,2.786312813732222,391.67065974072057,399.571936830582
16,402.31674780182175,2.7780012675435137,397.25456096236405,405.1322715532228
17,407.00001962671354,2.823763186930907,401.85444593876036,409.8619249492489
18,410.93444288143235,2.8963200172868264,405.65666140564883,413.86989039227217
19,414.2336260881465,3.000626072207147,408.76578927588696,417.2747985065304
20,416.99900663994435,3.113634725684328,411.3252596024237,420.1547262768269
21,419.31558385790834,3.226112371175017,413.4368958339932,422.5853135795487
22,421.252908227742,3.3485108093374993,415.1512051297544,424.64670541048457
23,422.87375667214764,3.4636545351836543,416.56225851081024,426.3842687292013
24,424.2276483942109,3.581083764332311,417.7021927637318,427.8571932100942
25,425.3602758060176,3.6821484285755273,418.6506802942461,429.0922661001994
26,426.3067176152643,3.774274749579498,419.4292689395775,430.13209360318046
27,427.09724334830935,3.8584719432317165,420.0663891895086,431.0079680913961
28,427.75685400505597,3.9384990904722312,420.5801929610119,431.7487009820639
29,428.3081246783911,4.006584010049516,421.0074156439274,432.3689885949317
30,428.76807238533877,4.069306744486372,421.3530855785099,432.8925179973751
31,429.1518089167239,4.1263444961446964,421.6329025367419,433.33407367103257
32,429.47231206518296,4.175211036499105,421.8643738909041,433.7041129975553
33,429.74004104510755,4.216601434310241,422.0566923484911,434.013799697569
34,429.9637527162109,4.2510659771432175,422.21761207496803,434.2724483914675
35,430.1500723087889,4.283888232959995,422.3441320369093,434.4920403245414
36,430.3055601040305,4.312468950095224,422.44754807040084,434.6765008301203
37,430.43526898308534,4.337610594182824,422.53145099219074,434.8316962372728
38,430.54366306085376,4.358328955191727,422.6020980089688,434.9610929135855
39,430.6339276034946,4.377566789575002,422.6573129508198,435.0708592611834
40,430.7093508484806,4.3934650486439235,422.7037710284375,435.1623989302594
41,430.7722460036003,4.407467891072257,422.7411543233569,435.23948910367585
42,430.824810174005,4.418958690236483,422.7727833532083,435.3037017823384
43,430.86863375951634,4.429115379869928,422.79810243764086,435.3578214685386
44,430.90521953207076,4.437720652049243,422.81901025119237,435.40313063618936
45,430.9356596410916,4.445720458054304,422.83487551801056,435.4416803740375
46,430.96106383304004,4.452541967048982,422.84785161353426,435.47399972651624
47,430.98230991700547,4.458046333542782,422.85906930261183,435.50082574674656
48,431.00008511449175,4.462435489262192,422.8688479057096,435.5230503589927
49,431.014828438805,4.466810955130811,422.8756195874544,435.54222922694413
50,431.0270630779197,4.4710118570920985,422.8802006285465,435.55872245365765
51,431.03743307230394,4.473473232815115,422.8860862493773,435.57158761756654
52,431.0460037702636,4.476153117366926,422.88977448143726,435.5828749992919
53,431.0531202933134,4.4786796085264635,422.8922880085107,435.59255270857767
54,431.059086926568,4.480631264521846,422.89469893301026,435.60049779844763
55,431.064073264152,4.482240323676377,422.8967537368235,435.6071152912693
56,431.06824419341797,4.483540182077909,422.8985564628526,435.6126039288627
57,431.071706444446,4.4847728674571155,422.8997728942631,435.6173157937623
58,431.07460370893017,4.485763557994091,422.9008652273997,435.6212173538298
59,431.0770013627148,4.486743813619863,422.90147696253246,435.6246087259003
60,431.0790070064131,4.487540774401159,422.90203063068344,435.62742227565127
61,431.0806874658015,4.488169304893163,422.902565975902,435.62973989747604
62,431.0820813658084,4.488760606958268,422.90288258844345,435.6317332205782
63,431.083255637872,4.489184640186124,422.9032843180433,435.63333734930575
64,431.08421832870533,4.4896635204037585,422.90337454219326,435.63478549770196
65,431.08503527034816,4.489974229165546,422.90362540638597,435.63591741530524
66,431.08571616971915,4.490243409569382,422.9038158885259,435.6368711919927
67,431.08628349086496,4.4904776101674235,422.9039565218944,435.6376759302874
68,431.08674836312707,4.490735050308378,422.9039523669326,435.6384017787083
69,431.0871425021494,4.49090939909662,422.90402886169176,435.63897266111167
70,431.08746496941285,4.491101407253849,422.90400151158417,435.6394897738717
71,431.0877425934978,4.491204381925609,422.9040915270534,435.6398717868553
72,431.0879677313171,4.491336900792283,422.9040752303273,435.64023126375986
