age_yrs,Lifestage,no_days,Es,Es_sd,Es_perday,Es_sd_perday
24,Juvenile/Adult,365,379308.4545808356,60430.078869337674,1039.2012454269468,165.56185991599364
25,Juvenile/Adult,365,380501.66289958335,60683.155949926615,1042.470309313927,166.25522178062087
26,Juvenile/Adult,365,381520.0588293588,60917.73791478147,1045.260435148928,166.8979120952917
27,Juvenile/Adult,365,382369.5480141173,61111.475590215516,1047.5878027784036,167.4287002471658
28,Juvenile/Adult,365,383087.67873270693,61281.69916198165,1049.555284199197,167.89506619720999
29,Juvenile/Adult,365,383692.555261055,61428.047808462594,1051.212480167274,168.2960213930482
30,Juvenile/Adult,365,384196.744451041,61548.24371975488,1052.5938204138108,168.62532525960242
31,Juvenile/Adult,365,384630.2414838041,61662.60614724661,1053.7814835172715,168.93864697875784
32,Juvenile/Adult,365,384988.4967412063,61752.792328817035,1054.7630047704283,169.1857324077179
33,Juvenile/Adult,365,385292.226517588,61832.98041937304,1055.5951411440767,169.40542580650148
34,Juvenile/Adult,365,385547.77621901646,61901.52448473677,1056.2952773123739,169.59321776640212
35,Juvenile/Adult,365,385763.3465182009,61960.58006202098,1056.8858808717832,169.75501386855063
36,Juvenile/Adult,365,385943.1290405072,62009.53560994595,1057.378435727417,169.88913865738618
37,Juvenile/Adult,365,386094.2809039813,62051.294569881306,1057.7925504218665,170.0035467667981
38,Juvenile/Adult,365,386221.7190238652,62087.18632010712,1058.141695955795,170.1018803290606
39,Juvenile/Adult,365,386329.4951310159,62118.569032112835,1058.4369729616874,170.18786036195297
40,Juvenile/Adult,365,386419.76440750633,62144.80771165602,1058.6842860479626,170.259747155222
41,Juvenile/Adult,365,386495.5020372835,62167.05042743455,1058.8917864035163,170.32068610256042
42,Juvenile/Adult,365,386559.3452589997,62186.14063454156,1059.0666993397251,170.3729880398399
43,Juvenile/Adult,365,386613.52322460164,62202.88814023448,1059.2151321221963,170.41887161708075
44,Juvenile/Adult,365,386657.8912982185,62215.944124947,1059.3366884882698,170.45464143821096
45,Juvenile/Adult,365,386696.8372602335,62228.62361496091,1059.4433897540644,170.4893797670162
46,Juvenile/Adult,365,386728.3554498273,62238.11782681575,1059.529740958431,170.51539130634453
47,Juvenile/Adult,365,386755.45045541046,62246.91122949809,1059.6039738504396,170.5394828205427
48,Juvenile/Adult,365,386778.29506810347,62254.385200861594,1059.6665618304205,170.55995945441532
49,Juvenile/Adult,365,386797.232792262,62260.42112682805,1059.7184460061972,170.57649623788507
50,Juvenile/Adult,365,386813.62882103544,62266.035101211186,1059.7633666329739,170.5918769896197
51,Juvenile/Adult,365,386827.0034053975,62270.387623628565,1059.8000093298563,170.6038017085714
52,Juvenile/Adult,365,386838.34799493116,62274.172300782375,1059.8310903970716,170.614170687075
53,Juvenile/Adult,365,386848.0740234632,62277.58813873446,1059.857737050584,170.6235291472177
54,Juvenile/Adult,365,386856.1206727264,62280.30725120857,1059.8797826650039,170.63097877043444
55,Juvenile/Adult,365,386862.7336986709,62282.480137991995,1059.8979005443039,170.6369318849096
56,Juvenile/Adult,365,386868.62456702406,62284.65145310127,1059.914039909655,170.64288069342814
57,Juvenile/Adult,365,386873.43898676423,62286.35551722485,1059.9272301007238,170.64754936225987
58,Juvenile/Adult,365,386877.4886153648,62287.789846103,1059.9383249736022,170.65147903041918
59,Juvenile/Adult,365,386880.88206093427,62288.99108269645,1059.9476220847514,170.6547700895793
60,Juvenile/Adult,365,386883.7824760823,62290.06621306391,1059.955568427623,170.65771565222988
61,Juvenile/Adult,365,386886.1986810251,62290.929170475334,1059.9621881671922,170.6600799191105
62,Juvenile/Adult,365,386888.27240845613,62291.72231338665,1059.9678696122087,170.66225291338807
63,Juvenile/Adult,365,386889.99915173196,62292.37364043952,1059.972600415704,170.66403737106717
64,Juvenile/Adult,365,386891.4847697449,62292.9505051892,1059.976670602041,170.66561782243616
65,Juvenile/Adult,365,386892.68833423825,62293.39068363036,1059.979968039009,170.6668237907681
66,Juvenile/Adult,365,386893.71924581873,62293.782925692976,1059.9827924542979,170.6678984265561
67,Juvenile/Adult,365,386894.5394220184,62294.0705550396,1059.9850395123792,170.66868645216329
68,Juvenile/Adult,365,386895.3215409973,62294.401785809714,1059.9871823041021,170.66959393372525
69,Juvenile/Adult,365,386895.94764196227,62294.652581585404,1059.9888976492116,170.67028104543945
70,Juvenile/Adult,365,386896.45051383093,62294.84149716868,1059.9902753803588,170.67079862237995
71,Juvenile/Adult,365,386896.8921736856,62295.01726966958,1059.991485407358,170.67128019087556
72,Juvenile/Adult,365,386897.25842419325,62295.16027530048,1059.9924888334062,170.6716719871246
73,Juvenile/Adult,365,386897.5717156284,62295.2880723028,1059.9933471661052,170.67202211589807
74,Juvenile/Adult,365,386897.8251861565,62295.385849649494,1059.9940416059083,170.67228999903972
75,Juvenile/Adult,365,386898.0595756644,62295.48890914233,1059.9946837689436,170.67257235381462
