age_yrs,fit,mean,sd,median,median_abs_dev,2.5%,97.5%,length_plus_sd,length_minus_sd,female_length,male_length
65.05,12.816094768891874,12.816084714328472,0.05559542964598425,12.816284127654418,0.05659510825099759,12.706669044980805,12.921264111233869,12.87169019853786,12.76049933924589,13.190885600882583,12.644501434242876
65.10000000000001,12.816095144230639,12.816085005699978,0.05559498070291432,12.815667418295504,0.05650488313786517,12.707324054657665,12.924827554364022,12.871690124933552,12.760500163527725,13.190885900775124,12.644501721713466
65.15,12.816095516204653,12.816085583062153,0.05559568602747262,12.81590583092093,0.05546641822073163,12.706367148065356,12.925181136220361,12.871691202232126,12.76049983017718,13.190886495022006,12.644502291345846
65.2,12.816095884844087,12.81608602986419,0.05559561931089447,12.81609962644167,0.0546895763724701,12.705020153282272,12.925734511184494,12.871691504154981,12.760500265533192,13.190886954890576,12.644502732166044
65.25,12.81609625017883,12.816086498520889,0.055596086234333424,12.81621793178797,0.05586968716752112,12.707477546840105,12.923976304758796,12.871692336413163,12.760500163944497,13.19088743725294,12.644503194548312
65.3,12.816096612238505,12.81608688196238,0.05559600968603323,12.815935000848032,0.05516284774740639,12.706902021813212,12.926213021291774,12.871692621924538,12.760500602552472,13.190887831908013,12.644503572856243
65.35000000000001,12.816096971052477,12.81608712282851,0.05559550528364053,12.815339027268859,0.05555174363870235,12.707041626209774,12.92686016610647,12.871692476336118,12.760501465768836,13.19088807981817,12.644503810497627
65.4,12.816097326649839,12.816087785879965,0.05559666657307402,12.816484144229145,0.05500994543128792,12.706374906992508,12.92433476208439,12.871693993222912,12.760500660076765,13.190888762260279,12.64450446467207
65.45,12.816097679059425,12.816088113704582,0.05559626679855265,12.81527052560174,0.055106020160412446,12.707465728442044,12.926937897980077,12.871693945857977,12.760501412260872,13.190889099671987,12.644504788107731
65.5,12.816098028309815,12.816088505716607,0.05559659197008236,12.816219556783217,0.055602848143671335,12.706525480231225,12.925301133774273,12.871694620279898,12.760501436339732,13.190889503148233,12.644505174871453
