phase,age_yrs,sex,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Ts,mass,mass_sd,pctbodywt,pctbodywt_sd,pct_unit,age_mth
1,0.08493150684931507,N/A,all,539.6875120931005,55.43924047560028,420.59849897458207,658.8054341615947,539.6875120931005,55.43924047560028,420.59849897458207,658.8054341615947,24.168719753385602,2.4827246070577824,18.835579891382988,29.50315423921159,31,1498.2325099224317,37.13787000488279,0.016108987466746178,0.0013666792946801756,L milk/kg body weight,1
1,0.16164383561643836,N/A,all,571.9376767719828,59.8972488362183,443.5187511855478,700.2593162117917,571.9376767719828,59.8972488362183,443.5187511855478,700.2593162117917,25.612972537930265,2.682366719042468,19.862013040105143,31.359575289377144,28,2003.7803728990423,53.210696721424355,0.012762838497454685,0.00108824536328285,L milk/kg body weight,2
1,0.2465753424657534,N/A,all,559.6718033261858,47.88351395176582,461.07104070569574,657.4961902031749,559.6718033261858,47.88351395176582,461.07104070569574,657.4961902031749,25.063672338835012,2.1443579915703457,20.64805377096712,29.44452262441447,31,2580.453765518196,70.54023708974744,0.00970216174159999,6.425557157961634e-4,L milk/kg body weight,3
1,0.3287671232876712,N/A,all,530.9762463744668,49.64840276251683,427.1272250945133,634.5544590721473,530.9762463744668,49.64840276251683,427.1272250945133,634.5544590721473,23.77860485331244,2.223394660211233,19.127954549687118,28.41712758943786,30,3134.2783894650147,82.71465092855262,0.00757698050708486,5.638683278163571e-4,L milk/kg body weight,4
1,0.4136986301369863,N/A,all,546.1252559281284,54.07041008709001,431.18523048088014,661.0533110221103,546.1252559281284,54.07041008709001,431.18523048088014,661.0533110221103,24.457019969911705,2.4214245448764,19.3096834071151,29.603820466731325,31,3685.8051754655985,90.87147369929832,0.006626714340503484,5.383673591168222e-4,L milk/kg body weight,5
1,0.4958904109589041,N/A,all,599.4549680889355,51.17954239834436,492.08606155840505,706.355747739056,599.4549680889355,51.17954239834436,492.08606155840505,706.355747739056,26.845273985174007,2.291963385505793,22.03699335236924,31.632590583925488,30,4188.933966126388,92.44531070654642,0.006402572207657291,4.497974797855572e-4,L milk/kg body weight,6
1,0.5808219178082191,N/A,all,743.6524659681328,89.81325994401018,545.3535458177315,942.8077776773823,743.6524659681328,89.81325994401018,545.3535458177315,942.8077776773823,33.30284218397371,4.022089563099427,24.42246062775332,42.22157535501041,31,4670.709734282709,91.40099283406973,0.007120060390224305,7.616643693268576e-4,L milk/kg body weight,7
1,0.6657534246575343,N/A,all,762.6517220709145,96.53186679171179,547.8885204942934,977.9854648283437,762.6517220709145,96.53186679171179,547.8885204942934,977.9854648283437,34.1536821348372,4.32296761270541,24.535983900326627,43.7969308028815,31,5110.499590790215,90.41412518076864,0.006673847598912815,7.617757320568557e-4,L milk/kg body weight,8
1,0.7479452054794521,N/A,all,777.3938048494654,102.64517406255115,548.1038059892581,1006.8728374186776,777.3938048494654,102.64517406255115,548.1038059892581,1006.8728374186776,34.81387392966706,4.596738650360553,24.545624988323254,45.09058833043787,30,5495.4010660743525,93.43444246739548,0.006326274496972467,7.602118518571718e-4,L milk/kg body weight,9
1,0.8328767123287671,N/A,all,683.9532000934161,122.89413428893918,424.6956913377057,939.1441897326745,683.9532000934161,122.89413428893918,424.6956913377057,939.1441897326745,30.629341696973405,5.50354385530404,19.01906365148704,42.057509616331146,31,5802.590524546228,211.6092117825493,0.005254170221738453,7.827652854890066e-4,L milk/kg body weight,10
1,0.915068493150685,N/A,all,424.8265419803825,64.69393431054546,279.100776675389,569.1465065537752,424.8265419803825,64.69393431054546,279.100776675389,569.1465065537752,146.28308247928413,20.802060284491642,98.56455670460534,192.14815895221602,30,5935.437055277005,207.1163890788048,2.458748460034374,0.2970785414180679,% of body weight,11
1,1,N/A,all,432.6626089978983,66.13578480523289,283.7109121242473,580.1292326152159,432.6626089978983,66.13578480523289,283.7109121242473,580.1292326152159,148.9808444207405,21.274582236654258,100.16555034948955,195.9438393018233,31,6072.716456609743,202.0805850466107,2.4476052806143094,0.2994033243333029,% of body weight,12
1,0.08493150684931507,N/A,P_cost,539.0819022351596,15.329990923240167,508.60420068091986,569.1905137958221,539.0819022351596,15.329990923240167,508.60420068091986,569.1905137958221,24.14159884617822,0.6865199696927975,22.776721929284367,25.489946878451505,31,1498.2581301831517,0,0.016113110524704495,4.5821207698627683e-4,L milk/kg body weight,1
1,0.16164383561643836,N/A,P_cost,571.2898201375672,18.138672260507775,535.2276866313532,606.9146820497073,571.2898201375672,18.138672260507775,535.2276866313532,606.9146820497073,25.583959701637582,0.8123005938427127,23.968996266518282,27.17934088892554,28,2003.817081302699,0,0.012767612343640282,4.053766191645741e-4,L milk/kg body weight,2
1,0.2465753424657534,N/A,P_cost,558.927613725565,18.41872868325532,522.3082784622984,595.1024800202492,558.927613725565,18.41872868325532,522.3082784622984,595.1024800202492,25.030345442255488,0.8248423055645016,23.390428950394018,26.650357367677984,31,2580.5024290324272,0,0.009699795342429011,3.1964407252031945e-4,L milk/kg body weight,3
1,0.3287671232876712,N/A,P_cost,530.3148123892364,17.192668089667563,496.1330365360577,564.081250058383,530.3148123892364,17.192668089667563,496.1330365360577,564.081250058383,23.748983985187483,0.7699358750410911,22.218228237172312,25.26113972496118,30,3134.335451728464,0,0.00757703964714142,2.456456518132102e-4,L milk/kg body weight,4
