age_yrs,Lifestage,Activity_stages,no_days,MC_variable,mean_bpm,se_bpm,mean_bpd,Vt_mean,Vt_sd,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975
1,Juvenile/Adult,calving grounds,30,all,0.6199981687779041,0.002004567699580897,892.797363040182,81.71990724139836,2.0258216963532387,161.45936137457826,43.36978145185674,78.02550109317838,248.94694056543045,4843.780841237348,1301.0934435557022,2340.7650327953515,7468.408216962914
1,Juvenile/Adult,foraging,154,all,1.0399956820580856,0.0020042961433952506,1497.5937821636433,81.71990724139836,2.0258216963532387,270.83504004415795,72.74545205032388,130.94288962674682,417.74926176736915,41708.59616680032,11202.799615749876,20165.20500251901,64333.38631217485
1,Juvenile/Adult,northbound,90,all,0.49999895363010943,3.005712532522517e-4,719.9984932273576,81.71990724139836,2.0258216963532387,130.20954289512215,34.972606072999646,62.98021023976664,201.12367533781992,11718.858860560993,3147.534546569968,5668.218921578998,18101.13078040379
1,Juvenile/Adult,southbound,91,all,0.7199973303439192,0.0020044912103815583,1036.7961556952437,81.71990724139836,2.0258216963532387,187.50112973978224,50.36387398590061,90.62449588729571,289.1171405832879,17062.602806320185,4583.112532716956,8246.829125743909,26309.659793079194
1,Juvenile/Adult,calving grounds,30,Rs,0.6199980719729508,0.0020045557705490017,892.7972236410491,81.72130479273952,0,160.51321886881996,0.5189656446978848,159.48097156726234,161.54706045731487,4815.396566064599,15.568969340936539,4784.42914701787,4846.411813719447
1,Juvenile/Adult,foraging,154,Rs,1.0399955990911236,0.0020042861516551833,1497.5936626912178,81.72130479273952,0,269.2476779618211,0.5188958422283758,268.2184355118172,270.28054753075645,41464.14240612046,79.90995970316989,41305.63906881985,41623.20431973649
1,Juvenile/Adult,northbound,90,Rs,0.4999989434994485,3.005702360739497e-4,719.9984786392058,81.72130479273952,0,129.44627327100326,0.07781555825627728,129.2924801815362,129.5996394920449,11650.164594390293,7.003400243064959,11636.323216338256,11663.967554284041
1,Juvenile/Adult,southbound,91,Rs,0.7199972381205009,0.002004479765784353,1036.7960228935212,81.72130479273952,0,186.4023123485195,0.5189459675892377,185.37127915010834,187.43403243239328,16962.610423715276,47.224083050620635,16868.78640265986,17056.496951347788
1,Juvenile/Adult,calving grounds,30,Vt,0.6199980719729508,0.0020045557705490017,892.7972236410491,81.71990724139836,2.0258216963532387,160.51046877414493,4.0125811472540835,152.58692346369628,168.30919031433706,4815.314063224348,120.3774344176225,4577.607703910889,5049.275709430111
1,Juvenile/Adult,foraging,154,Vt,1.0399955990911236,0.0020042861516551833,1497.5936626912178,81.71990724139836,2.0258216963532387,269.2430711545128,6.694556632108712,255.9581855147414,282.36453782926276,41463.43295779497,1030.9617213447416,39417.56056927017,43484.13882570647
1,Juvenile/Adult,northbound,90,Vt,0.4999989434994485,3.005702360739497e-4,719.9984786392058,81.71990724139836,2.0258216963532387,129.44406005981475,3.2098557036610895,123.06112870802883,135.73516149024098,11649.965405383327,288.8870133294981,11075.501583722595,12216.164534121686
1,Juvenile/Adult,southbound,91,Vt,0.7199972381205009,0.002004479765784353,1036.7960228935212,81.71990724139836,2.0258216963532387,186.39912014940555,4.649717676201424,177.20780668997284,195.4694129906896,16962.319933595907,423.12430853432954,16125.91040878753,17787.716582152752
1,Juvenile/Adult,calving grounds,30,pctO2,0.6199981687779041,0.002004567699580897,892.797363040182,81.72130479273952,0,160.48566601273876,39.39699835783873,82.0724180320101,237.65682443071438,4814.569980382163,1181.909950735162,2462.172540960303,7129.704732921431
1,Juvenile/Adult,foraging,154,pctO2,1.0399956820580856,0.0020042961433952506,1497.5937821636433,81.72130479273952,0,269.20174589000203,66.08130057528257,137.73413838806601,398.39898916259193,41457.06886706031,10176.520288593514,21211.057311762168,61353.44433103916
1,Juvenile/Adult,northbound,90,pctO2,0.49999895363010943,3.005712532522517e-4,719.9984932273576,81.72130479273952,0,129.42431011316367,31.768721765473334,66.24640679657452,191.76794204905332,11648.187910184732,2859.1849588926,5962.176611691707,17259.114784414796
1,Juvenile/Adult,southbound,91,pctO2,0.7199973303439192,0.0020044912103815583,1036.7961556952437,81.72130479273952,0,186.37038642285668,45.750273308443184,95.32365471160863,275.76358529904564,16959.705164479958,4163.27487106833,8674.452578756383,25094.486262213155
2,Juvenile/Adult,calving grounds,30,all,0.6199981687779041,0.002004567699580897,892.797363040182,137.27254067459268,4.1285367915709426,271.5680549021548,74.28389351404344,129.61774731456222,422.25569708096947,8147.041647064644,2228.5168054213036,3888.5324194368663,12667.670912429085
2,Juvenile/Adult,foraging,154,all,1.0399956820580856,0.0020042961433952506,1497.5937821636433,137.27254067459268,4.1285367915709426,455.5334811774056,124.59879716673575,217.52543572612407,708.6770205496509,70152.15610132046,19188.214763677304,33498.917101823114,109136.26116464625
2,Juvenile/Adult,northbound,90,all,0.49999895363010943,3.005712532522517e-4,719.9984932273576,137.27254067459268,4.1285367915709426,219.00713310746,59.901291511784926,104.62429935270451,341.1982295237418,19710.6419796714,5391.116236060643,9416.186941743406,30707.840657136763
2,Juvenile/Adult,southbound,91,all,0.7199973303439192,0.0020044912103815583,1036.7961556952437,137.27254067459268,4.1285367915709426,315.36924649352505,86.26344477655445,150.54792444140736,490.4408935826726,28698.601430910778,7849.973474666454,13699.86112416807,44630.1213160232
