age_yrs,fit,mean,sd,median,median_abs_dev,2.5%,97.5%
0.8328767123287671,8.40327634641469,8.384771086907403,0.10520069105743397,8.394617364113232,0.09818491466119539,8.15092643111237,8.56097909621747
0.873972602739726,8.435816929927368,8.417464599594535,0.1029172311210773,8.426791500955229,0.09777422775168176,8.19079608294357,8.593382884078636
0.915068493150685,8.468117558058417,8.449903295068712,0.10143767822129453,8.458254061537836,0.09673293611140872,8.222349589612449,8.624044577959657
0.9575342465753425,8.501244666767517,8.483183766149075,0.0991965332305547,8.4909718529262,0.09430557056010588,8.267569050739432,8.657073730727541
1,8.534119383453667,8.516207187721795,0.09754608841320513,8.524937131968368,0.09358456818953655,8.297614924500085,8.683207146094345
1,8.534119383453667,8.51620998312953,0.09742752486494359,8.522734316496846,0.09289393069642164,8.299963927192099,8.686235935003449
1.05,8.572505787806389,8.554746037269851,0.09620201419476883,8.562542232068541,0.09009510575214354,8.341754769816527,8.720141848893714
1.1,8.610548074900464,8.59297543338001,0.09356011672396494,8.600364469131227,0.0890369062874554,8.387510830497153,8.755749131585674
1.15,8.648249329596007,8.630831926458985,0.0919210169913239,8.637449782894798,0.08802872872619104,8.425132521281913,8.790369278786617
1.2,8.685612609098715,8.668361464124576,0.0895224046494344,8.675207966599938,0.08517830614258559,8.474310808941729,8.827022110855099
1.25,8.72264094320778,8.705545700703654,0.0881095131880552,8.712629775911434,0.08395143290508457,8.514189075038145,8.860640478701008
1.3,8.759337334561573,8.742381065147994,0.08674882282591126,8.749282657957895,0.08211427004289812,8.553994325176115,8.893763340634193
1.35,8.795704758881131,8.778919475054707,0.08426633118033937,8.78412432198471,0.08061937693395967,8.592648899388385,8.926943041928435
1.4,8.831746165211461,8.815106902162801,0.08271684714829333,8.8210715358917,0.0787126515096306,8.633502589506577,8.96071662838699
1.45,8.86746447616067,8.850974489772561,0.08168215064819007,8.856352264697989,0.0774493353282117,8.675817322125123,8.997865141057423
1.5,8.902862588136973,8.88651730555679,0.07964872493910888,8.890468749794497,0.07761734746584394,8.717178265188705,9.029579665896465
1.55,8.937943371583554,8.921741655815309,0.07819781929680057,8.926200419201718,0.07472087895405201,8.75000118546204,9.063216477632404
1.6,8.972709671211339,8.956659336859355,0.076656429344179,8.960855187674287,0.07382461498341925,8.790873238792335,9.095959622941969
1.65,9.007164306229663,8.991248262712718,0.07552641156062051,8.994859677258766,0.0729717249184561,8.828121739993348,9.126548356451506
1.7000000000000002,9.041310070574893,9.02552587859575,0.07425591507582967,9.0294388145403,0.07135020059611674,8.867503869851781,9.157641143338946
1.75,9.075149733136978,9.05949847667568,0.07268635693650904,9.063091317638037,0.07110141618842737,8.906701460610032,9.191230626347958
1.8,9.108686037983988,9.093180721672304,0.0710725457094241,9.096263556970804,0.06919117064734052,8.943389455637693,9.222869979493229
