age_yrs,Lifestage,no_days,mean_bpm,se_bpm,mean_bpd,Vt_mean,Vt_sd,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975,age_mth
0.08493150684931507,Calf,31,2.14,,3081.6000000000004,23.230167018259305,,180.803509429611,,180.803509429611,180.803509429611,5604.908792317941,,5604.908792317941,5604.908792317941,1
0.16164383561643836,Calf,28,1.56,,2246.4,33.519690685080704,,190.18022245844543,,190.18022245844543,190.18022245844543,5325.046228836472,,5325.046228836472,5325.046228836472,2
0.2465753424657534,Calf,31,1.39,,2001.6,44.496110116633474,,224.94564880570587,,224.94564880570587,224.94564880570587,6973.315112976882,,6973.315112976882,6973.315112976882,3
0.3287671232876712,Calf,30,0.7,,1008,55.94329271344153,,142.42519242089932,,142.42519242089932,142.42519242089932,4272.75577262698,,4272.75577262698,4272.75577262698,4
0.4136986301369863,Calf,31,0.7,,1008,66.93560782277206,,170.41036309394045,,170.41036309394045,170.41036309394045,5282.7212559121535,,5282.7212559121535,5282.7212559121535,5
0.4958904109589041,Calf,30,0.8213333333333332,,1182.7199999999998,77.86787863671692,,237.89398549577365,,237.89398549577365,237.89398549577365,7136.81956487321,,7136.81956487321,7136.81956487321,6
0.5808219178082191,Calf,31,1.22,,1756.8000000000002,88.0212835905795,,399.4415131856275,,399.4415131856275,399.4415131856275,12382.686908754453,,12382.686908754453,12382.686908754453,7
0.6657534246575343,Calf,31,1.22,,1756.8000000000002,97.23419770287339,,441.24981458442403,,441.24981458442403,441.24981458442403,13678.744252117145,,13678.744252117145,13678.744252117145,8
0.7479452054794521,Calf,30,1.22,,1756.8000000000002,105.8723170742316,,480.4496913872055,,480.4496913872055,480.4496913872055,14413.490741616166,,14413.490741616166,14413.490741616166,9
0.8328767123287671,Calf,31,1.1329032258064518,,1631.3806451612904,113.39699657200504,,477.85929223986557,,477.85929223986557,477.85929223986557,14813.638059435832,,14813.638059435832,14813.638059435832,10
0.915068493150685,Calf,30,1.04,,1497.6000000000001,118.40246702425782,,458.0361555413362,,458.0361555413362,458.0361555413362,13741.084666240085,,13741.084666240085,13741.084666240085,11
1,Calf,31,1.04,,1497.6000000000001,121.73984291577244,,470.94668740240394,,470.94668740240394,470.94668740240394,14599.347309474522,,14599.347309474522,14599.347309474522,12
