phase,age_yrs,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,GERcalf0to9.6mths,mass,mass_sd,pctbodywt,pctbodywt_sd
Lactating,8,all,1958.7316067967954,145.44291292916083,1655.2051497690798,2268.3325902726106,4822.759334382025,358.10734023734557,4075.421083044877,5585.054192856092,1663.3701516572132,126.03491100188086,1404.6511271232873,1933.3015559048183,179722.9447839482,15025.054546560485,201.70744399099652,11.065654180090911,0.7542262077882205
Lactating,8,P_cost,1956.3661352736801,11.137871480220495,1934.1020351546902,1978.1566153189858,4816.935106178053,27.423498686593327,4762.116775632977,4870.587296541704,1661.012105578639,9.456378857445978,1642.1092329768885,1679.51286087645,179722.9447839482,15025.054546560485,0,11.054948921692105,0.06293740117975624
Lactating,8,Es,1955.386806013434,110.11557003474603,1696.918013376327,2211.819290812165,4814.523816486858,271.12489092588726,4178.125864867762,5445.9080017476,1660.1806263747787,93.49134169858183,1440.7330568509526,1877.8993109474486,179722.9447839482,15025.054546560485,0,11.049414970375766,0.6222362881203898
Lactating,8,GERcalf,1956.3737278629833,1.8296071536860081,1955.196757002713,1959.5399081715977,4816.9538005365885,4.504831059075532,4814.055880687351,4824.749521800656,1661.0185519091688,1.5533900203708617,1660.019269202535,1663.7067316553987,179722.9447839482,15025.054546560485,0,11.054991825566496,0.010338664765290443
Lactating,8,E_FnU,1959.7039289928518,83.29442670157181,1828.2877140260719,2103.4197157897006,4825.153371385761,205.08627750891208,4501.5823547028485,5179.008207784725,1663.845990133021,70.7194060375559,1552.2697774837409,1785.864899236112,179722.9447839482,15025.054546560485,0,11.073809981700908,0.47067653444056806
Lactating,9,all,2013.0597470868827,150.9996213839306,1696.5052993806055,2335.107686293465,4956.52525963409,371.7889837436274,4177.109686710231,5749.46682423517,1709.5059406173632,130.79776452908825,1439.6622215824395,1989.938232408849,179722.9447839482,15802.21989854219,198.44640997303577,10.81342868077953,0.7501829545563007
Lactating,9,P_cost,2010.6605477065573,9.678504225371093,1991.3266603758016,2029.6383209023984,4950.617987210263,23.830266706165798,4903.014382269831,4997.3447733143075,1707.1096507621596,8.217333346953724,1690.694614575804,1723.2223356256236,179722.9447839482,15802.21989854219,0,10.802973643719808,0.05200113275041694
Lactating,9,Es,2009.6211864277882,116.41886048266915,1736.0019465193786,2280.6606538866854,4948.058887591109,286.64475732287445,4274.357733867042,5615.408164611753,1706.2272026176238,98.84301976650843,1473.9164599541523,1936.34764296957,179722.9447839482,15802.21989854219,0,10.797389313478856,0.625500849887724
Lactating,9,GERcalf,2010.6671201019376,1.8086425758547624,2009.4948497327275,2013.7966210440134,4950.634169662754,4.453212392651137,4947.747823291505,4958.339579545344,1707.1152309181912,1.5355904802245008,1706.119939066036,1709.7722688087395,179722.9447839482,15802.21989854219,0,10.803008956201644,0.009717561773495987
Lactating,9,E_FnU,2014.0897497787269,85.60466294176435,1878.9959376334186,2161.836122794728,4959.061316682076,210.77450623476432,4626.435375853712,5322.840201502985,1710.0211436834745,72.68086421888425,1595.3225433978319,1835.462138449305,179722.9447839482,15802.21989854219,0,10.821398225455843,0.4599408480930538
Lactating,10,all,2059.6341779646923,155.75857941173726,1732.8185803455783,2391.9088382982504,5071.200118854242,383.50641821545395,4266.519697825668,5889.321761524264,1749.0572115578855,134.8770363571263,1470.2429656762126,2038.2707347983892,179722.9447839482,16471.25524485279,191.76991430176912,10.61442790344436,0.7480873808481125
Lactating,10,P_cost,2057.206571568893,8.37602669232991,2040.5247895355647,2073.6558553375266,5065.222903106602,20.623326225652644,5024.149271713618,5105.724080789037,1746.6285872781386,7.111491801949188,1732.4652661081439,1760.5945106169092,179722.9447839482,16471.25524485279,0,10.604101274090535,0.04317516604674987
Lactating,10,Es,2056.115234076467,121.83949437652144,1769.6389970177795,2340.050984808041,5062.5358284403765,299.991360103536,4357.178370808483,5761.638139065176,1745.7020098070263,103.44529658742621,1502.4753002787875,1986.77177209144,179722.9447839482,16471.25524485279,0,10.59847585297151,0.6280352957298292
Lactating,10,GERcalf,2057.2122316699697,1.774044793033339,2056.0535154734257,2060.281434603035,5065.236839321858,4.368026255115912,5062.383865829527,5072.793784358733,1746.6333928696063,1.5062159500399481,1745.6496089067336,1749.2392359857702,179722.9447839482,16471.25524485279,0,10.604130449714347,0.009144512228420677
Lactating,10,E_FnU,2060.7141011736016,87.58495102234534,1922.5291726490113,2211.92457178739,5073.859089444246,215.65034159283348,4733.622248623195,5446.1672229723135,1749.6065825669814,74.36218675614948,1632.283534007999,1877.9886975766601,179722.9447839482,16471.25524485279,0,10.622181227588756,0.45146642226546396
Lactating,11,all,2099.2759573859216,159.73526872644948,1763.119912995393,2440.122397578808,5168.805508521639,393.2977624945353,4341.127180736555,6008.032457904124,1782.721181532624,138.28698787294616,1496.626037167272,2079.107461647226,179722.9447839482,17044.13686263004,183.2000325055498,10.455315449659013,0.7468350065227453
Lactating,11,P_cost,2096.8246936808196,7.217310349430396,2082.505026563477,2111.076955535852,5162.7700441048755,17.77035237296727,5127.51237632856,5197.861747663904,1780.2655324499572,6.1277077148162995,1768.1077159753656,1792.3661198841046,179722.9447839482,17044.13686263004,0,10.445031900402428,0.035951997828951664
