age_yrs,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_sd_perday
8,Lactating,365,all,259159.1516778557,37390.27312474934,710.0250730900157,102.43910445136807
8,Lactating,365,Rs,258186.5172912324,315.0834146912466,707.3603213458422,0.8632422320308126
8,Lactating,365,Vt,258183.6482611379,2322.716976968832,707.3524609894189,6.363608156078992
8,Lactating,365,pctO2,258142.38958716154,35096.708415119756,707.23942352647,96.15536552087605
9,Lactating,365,all,274529.7361098293,39458.985590235716,752.1362633146008,108.10680983626223
9,Lactating,365,Rs,273569.4181914669,333.8562653976051,749.5052553190874,0.914674699719466
9,Lactating,365,Vt,273566.57649637683,2303.636981165601,749.4974698530872,6.311334194974249
9,Lactating,365,pctO2,273522.66133345803,37187.79044813398,749.3771543382412,101.88435739214789
10,Lactating,365,all,287815.1644218205,41228.15365921145,788.5346970460836,112.9538456416752
10,Lactating,365,Rs,286874.4098261977,350.09329528085317,785.9572871950622,0.9591597130982279
10,Lactating,365,Vt,286871.616916914,2267.3715621419574,785.9496353888055,6.211976882580705
10,Lactating,365,pctO2,286825.378958145,38996.410885672274,785.8229560497123,106.83948187855418
11,Lactating,365,all,299189.37845583446,42680.7130119312,819.6969272762587,116.93346030666082
11,Lactating,365,Rs,298294.6223565043,364.0301948459451,817.2455407027516,0.9973429995779318
11,Lactating,365,Vt,298291.9537349805,2171.217585089999,817.2382294109054,5.948541329013696
11,Lactating,365,pctO2,298243.6396136432,40548.82296907613,817.1058619551868,111.09266566870173
12,Lactating,365,all,308915.15630301647,43913.02740501082,846.3428939808671,120.30966412331732
12,Lactating,365,Rs,308064.34544100566,375.9528844671862,844.0119053178237,1.0300079026498252
12,Lactating,365,Vt,308061.7961094828,2079.0688052478304,844.0049208478981,5.696078918487206
12,Lactating,365,pctO2,308011.69291517657,41876.874975782725,843.8676518224015,114.73116431721294
13,Lactating,365,all,317192.9624136099,44945.780702213524,869.021814831808,123.1391252115439
13,Lactating,365,Rs,316387.1603518452,386.1098088854838,866.8141379502608,1.057835092836942
13,Lactating,365,Vt,316384.7340092186,1984.0723042737102,866.8074904362153,5.435814532256741
13,Lactating,365,pctO2,316333.0853399883,43008.240823943015,866.6659872328446,117.83079677792607
14,Lactating,365,all,324233.8840281138,45836.46846605612,888.3120110359282,125.57936566042773
14,Lactating,365,Rs,323460.61273907,394.74204714178586,886.1934595590959,1.0814850606624271
14,Lactating,365,Vt,323458.274778225,1916.3417806060897,886.1870541869177,5.250251453715315
14,Lactating,365,pctO2,323405.32877479773,43969.77397651516,886.0419966432814,120.4651341822333
15,Lactating,365,all,330208.5084466437,46600.31807839983,904.6808450592979,127.6721043243831
15,Lactating,365,Rs,329459.05798788054,402.0623775434766,902.6275561311795,1.1015407603930867
15,Lactating,365,Vt,329456.78435014177,1867.4441616376666,902.6213269866897,5.116285374349772
15,Lactating,365,pctO2,329402.7488050198,44785.17551665094,902.4732843973144,122.69911100452312
16,Lactating,365,all,335289.2799169484,47281.409445039506,918.6007668957491,129.5381080686014
16,Lactating,365,Rs,334545.2334677457,408.2694001050273,916.5622834732759,1.118546301657609
16,Lactating,365,Vt,334542.97262574505,1858.7745048587174,916.5560893856028,5.092532890023883
16,Lactating,365,pctO2,334488.05498601997,45476.56722694541,916.4056300986848,124.59333486834359
17,Lactating,365,all,339591.3884899214,47875.439981850344,930.3873657258121,131.1655889913708
17,Lactating,365,Rs,338843.7533338365,413.51519036447075,928.3390502296891,1.1329183297656733
17,Lactating,365,Vt,338841.48029240407,1869.4744059892516,928.3328227189153,5.121847687641785
17,Lactating,365,pctO2,338785.84017465904,46060.88859252089,928.1803840401617,126.19421532197504
18,Lactating,365,all,343238.9481056564,48403.372176681914,940.3806797415244,132.61197856625182
18,Lactating,365,Rs,342476.82376660936,417.94888523661865,938.2926678537243,1.1450654390044346
18,Lactating,365,Vt,342474.50808845204,1903.8096990709225,938.2863235300056,5.215916983755952
18,Lactating,365,pctO2,342418.28966463974,46554.75176929859,938.1323004510677,127.54726512136601
19,Lactating,365,all,346342.51723559626,48887.14051364933,948.8836088646473,133.93737127027214
19,Lactating,365,Rs,345551.7689865862,421.70146011955114,946.7171753057156,1.155346466080962
19,Lactating,365,Vt,345549.37105646206,1969.0292281107577,946.7106056341427,5.39460062496098
19,Lactating,365,pctO2,345492.70933326666,46972.745926817915,946.555368036347,128.69245459402168
20,Lactating,365,all,348960.01460728573,49305.36716400806,956.0548345405089,135.0831977096111
20,Lactating,365,Rs,348140.30855904607,424.8604395120886,953.8090645453317,1.1640012041427084
20,Lactating,365,Vt,348137.8276693897,2034.7355412518275,953.8022675873691,5.574617921237883
20,Lactating,365,pctO2,348080.8064879371,47324.62029868196,953.6460451724305,129.65649396899167
21,Lactating,365,all,351177.10379841854,49678.88517598426,962.1290515025165,136.106534728724
21,Lactating,365,Rs,350323.7917830592,427.52509976375893,959.7912103645457,1.1713016431883807
21,Lactating,365,Vt,350321.2150133347,2110.5466976798266,959.7841507214649,5.782319719670758
21,Lactating,365,pctO2,350263.916523983,47621.43314098873,959.6271685588575,130.46967983832528
22,Lactating,365,all,353048.3125032445,50003.88232915285,967.2556506938205,136.99693788809
22,Lactating,365,Rs,352162.0466709978,429.7684532635516,964.8275251260214,1.1774478171604152
22,Lactating,365,Vt,352159.3760278929,2184.776706154406,964.820208295597,5.985689605902482
22,Lactating,365,pctO2,352101.8572283286,47871.317203377155,964.662622543366,131.15429370788263
23,Lactating,365,all,354633.05685630144,50294.67026773607,971.5974160446615,137.79361717187965
23,Lactating,365,Rs,353711.56263981265,431.65943807443574,969.0727743556511,1.1826285974642075
23,Lactating,365,Vt,353708.7918443591,2263.9562399444535,969.0651831352303,6.202619835464256
23,Lactating,365,pctO2,353651.10836308915,48081.9514019117,968.9071462002443,131.73137370386766
24,Lactating,365,all,355968.6503338288,50546.75582118166,975.2565762570653,138.48426252378536
24,Lactating,365,Rs,355014.16627626086,433.24909816229547,972.6415514418106,1.1869838305816314
24,Lactating,365,Vt,355011.30176410667,2338.0872530361066,972.6337034633059,6.405718501468785
24,Lactating,365,pctO2,354953.48936627054,48259.021453781716,972.4753133322481,132.21649713364855
25,Lactating,365,all,357088.4375776185,50758.44179381212,978.3244865140233,139.06422409263595
25,Lactating,365,Rs,356106.1410710852,434.5817128577479,975.6332632084525,1.1906348297472544
25,Lactating,365,Vt,356103.197553024,2400.6316140075915,975.6251987754082,6.577072915089292
25,Lactating,365,pctO2,356045.27752725704,48407.45957275359,975.4665137733069,132.62317691165367
26,Lactating,365,all,358044.169084398,50954.65745988691,980.9429289983507,139.60180125996413
26,Lactating,365,Rs,357030.818537082,435.7101626952182,978.1666261289918,1.193726473137584
26,Lactating,365,Vt,357027.7869468936,2470.3408310783025,978.1583204024482,6.768057071447404
26,Lactating,365,pctO2,356969.7969528805,48533.15604886166,977.9994437065219,132.96755081879905
27,Lactating,365,all,358841.3870952273,51116.709002151394,983.1270879321296,140.04577808808602
27,Lactating,365,Rs,357802.8991976028,436.6523877714393,980.2819156098708,1.1963079117025734
27,Lactating,365,Vt,357799.7963041954,2526.8207999957563,980.2734145320422,6.92279671231714
