V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
0,0.08493150684931507,0.16164383561643836,0.2465753424657534,0.3287671232876712,0.4136986301369863,0.4958904109589041,0.5808219178082191,0.6657534246575343,0.7479452054794521,0.8328767123287671,0.915068493150685,1
966.2584935908177,523.407022850411,509.8890947254347,582.254092142578,561.9807659185481,562.1318378730648,516.4751398579751,496.1524311637004,452.93462188477406,393.9749287448658,241.9812646431701,139.44236369998998,144.34132043512636
987.9429294244961,531.812384430316,522.9115997775766,596.294810118186,571.844703887813,568.7406483589102,517.7502920598617,495.30630527618723,452.1350432401741,396.42204634389327,337.7286747025628,135.80219465009486,140.26121774955755
960.6593655739223,521.2366783749928,506.5265597973014,578.6286449325353,559.4338031170146,560.4253800139127,516.1458834053683,496.37090893268305,453.1410807119728,393.3430596561593,217.25837075186973,140.3822900448513,145.3948418379332
1025.7292157710383,546.459175425507,545.6040096066245,620.7615102899917,589.0331420593184,580.2568532232467,519.9723128034716,493.83188577475266,450.7417347928995,400.6862793186301,504.5736450395325,129.4590058706317,133.1514211386284
991.8473849740029,533.3258367939374,525.256405633228,598.8229533283397,573.6207845587369,569.9306173751675,517.9798933798738,495.1539535644606,451.99107273062873,396.86266937707296,354.96875922330855,135.1467531916669,139.52656273268622
961.0651699934589,521.3939770431754,506.7702640902851,578.8914041507908,559.6183977106975,560.5490578685549,516.1697467146596,496.3550744591794,453.12611732762525,393.3888552278968,219.05019611727585,140.31416760442153,145.3184864411569
996.074574194192,534.9643877866811,527.7950279611737,601.5600672715127,575.5436721345127,571.2189466016375,518.2284730378019,494.9890087967924,451.8352019367985,397.339713336828,373.63387104676076,134.4371343901721,138.73118275499291
1002.7904733711183,537.5676171881387,531.8282355406561,605.9086261650482,578.5986380740069,573.2657651235854,518.6234011645374,494.7269546582793,451.5875639718388,398.0976115452577,403.2878568521928,133.30973552614068,137.46753178994186
998.4395618982737,535.8811087443905,529.2153122868012,603.0914018021176,576.6194710250193,571.9397288095543,518.3675460255167,494.8967270636904,451.7479968244579,397.60660536374144,384.0764506566229,134.0401235982008,138.28619111413263
974.8526760359497,526.7383159257334,515.0502981419856,587.8188434171122,565.8901359010342,564.751104682508,516.9805203415804,495.8170864812464,452.61772524961907,394.9447937333789,279.92879147812073,137.99965718062867,142.7242552209973
