age_yrs,Lifestage,Activity_stages,no_days,MC_variable,mean_bpm,se_bpm,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975
8,Lactating,calving grounds lactating,74,all,0.6771544946631013,0.07027384208050737,624.7810234291559,158.01421659070974,348.6750071518228,781.1199247638897,46233.795733757535,11693.05202771252,25801.950529234888,57802.87443252784
8,Lactating,foraging lactating,119,all,1.0945622549624348,0.06906140254543988,1007.6504872435524,236.0506766566666,583.6858997769363,1240.5327516467871,119910.40798198275,28090.030522143326,69458.62207345542,147623.39744596768
8,Lactating,northbound lactating,100,all,0.5273685348721396,0.034572302537712415,485.5611892072618,114.23960530472586,280.6409304705686,598.3472784886017,48556.11892072618,11423.960530472586,28064.09304705686,59834.72784886016
8,Lactating,southbound post-weaning,72,all,0.7763540420021956,0.0699055206790525,715.7779119435733,176.21526026452415,404.5746321736268,890.2922394536735,51536.00965993728,12687.498739045739,29129.373516501128,64101.04124066449
8,Lactating,calving grounds lactating,74,Rs,0.676486169347167,0.07123643251836845,641.2466750464381,67.52558672213011,560.161056135756,752.5952201720129,47452.25395343642,4996.893417437629,41451.91815404594,55692.04629272895
8,Lactating,foraging lactating,119,Rs,1.0940145598111248,0.06980977288579697,1037.0251909337344,66.1732445941421,960.477723598508,1147.7318974782859,123405.99772111439,7874.616106702906,114296.84910822244,136580.09579991602
8,Lactating,northbound lactating,100,Rs,0.5270914987048163,0.034952197647323456,499.6342664564527,33.13146896785993,461.21557563978024,555.018161885108,49963.42664564527,3313.146896785994,46121.557563978015,55501.816188510806
8,Lactating,southbound post-weaning,72,Rs,0.7757297988570937,0.07079007090167676,735.3205088163074,67.10247695944553,655.7006010204423,846.5408527421107,52943.07663477414,4831.378341080078,47210.44327347184,60950.941397431976
8,Lactating,calving grounds lactating,74,Vt,0.676486169347167,0.07123643251836845,640.0241864727521,65.40014258925058,562.6509930563961,749.7355547933895,47361.789798983664,4839.610551604544,41636.17348617331,55480.43105471082
8,Lactating,foraging lactating,119,Vt,1.0940145598111248,0.06980977288579697,1035.2018409666068,63.33951281331335,963.9622917282984,1143.3717680871475,123189.01907502621,7537.402024784285,114711.5127156675,136061.24040237055
8,Lactating,northbound lactating,100,Vt,0.5270914987048163,0.034952197647323456,498.75160501546526,31.74346009175885,462.89981528724206,552.909706379741,49875.160501546525,3174.3460091758843,46289.98152872421,55290.970637974104
8,Lactating,southbound post-weaning,72,Vt,0.7757297988570937,0.07079007090167676,733.9572098514766,64.78787688677954,658.3503695986847,843.3246590089636,52844.91910930631,4664.7271358481285,47401.22661110529,60719.37544864538
8,Lactating,calving grounds lactating,74,pctO2,0.6771544946631013,0.07027384208050737,624.5352699331254,153.83296994294577,355.2659164492051,775.4027566295329,46215.60997505128,11383.639775777987,26289.67781724118,57379.80399058543
8,Lactating,foraging lactating,119,pctO2,1.0945622549624348,0.06906140254543988,1007.319851303844,228.7280984919523,594.6715927693069,1231.4536241498918,119871.06230515744,27218.643720542324,70765.91953954751,146542.98127383713
8,Lactating,northbound lactating,100,pctO2,0.5273685348721396,0.034572302537712415,485.3998656434387,110.72651152544115,285.9241768741508,593.9681145037648,48539.98656434387,11072.651152544115,28592.417687415083,59396.811450376474
8,Lactating,southbound post-weaning,72,pctO2,0.7763540420021956,0.0699055206790525,715.5116491782178,171.2793065621986,412.21026777803843,883.7761369054657,51516.83874083168,12332.1100724783,29679.139280018768,63631.881857193526
9,Lactating,calving grounds lactating,74,all,0.6771544946631013,0.07027384208050737,662.0969735545012,167.16473939014764,369.9669872375092,827.3980466413277,48995.17604303309,12370.190714870925,27377.557055575682,61227.45545145825
9,Lactating,foraging lactating,119,all,1.0945622549624348,0.06906140254543988,1067.838429860903,249.64608936441223,619.3256144576011,1314.0292213515709,127072.77315344747,29707.88463436506,73699.74812045453,156369.47734083695
9,Lactating,northbound lactating,100,all,0.5273685348721396,0.034572302537712415,514.5640921246354,120.82138826584027,297.77688106753806,633.7968954575801,51456.40921246355,12082.138826584029,29777.688106753805,63379.68954575802
9,Lactating,southbound post-weaning,72,all,0.7763540420021956,0.0699055206790525,758.5298433691714,186.40096669398088,429.27931766267085,943.0383772788518,54614.14872258034,13420.869601966622,30908.1108717123,67898.76316407733
9,Lactating,calving grounds lactating,74,Rs,0.676486169347167,0.07123643251836845,679.5635623170223,71.560493092794,593.6327743942105,797.565599487622,50287.70361145965,5295.476488866756,43928.82530517157,59019.85436208402
9,Lactating,foraging lactating,119,Rs,1.0940145598111248,0.06980977288579697,1098.9913248476237,70.12734346453222,1017.8698600308194,1216.3131711813335,130779.96765686723,8345.153872279334,121126.51334366751,144741.2673705787
9,Lactating,northbound lactating,100,Rs,0.5270914987048163,0.034952197647323456,529.4892826449523,35.11119815937336,488.77493135565544,588.1825729762664,52948.928264495225,3511.119815937336,48877.49313556554,58818.25729762664
9,Lactating,southbound post-weaning,72,Rs,0.7757297988570937,0.07079007090167676,779.2586595163054,71.1121009392437,694.8811644295782,897.1248349859401,56106.623485173994,5120.071267625546,50031.443838929634,64592.98811898768
9,Lactating,calving grounds lactating,74,Vt,0.676486169347167,0.07123643251836845,678.3528541597843,69.43950862599871,596.1672856062144,794.7334910529139,50198.11120782404,5138.523638323905,44116.37913485986,58810.27833791563
9,Lactating,foraging lactating,119,Vt,1.0940145598111248,0.06980977288579697,1097.1855454512204,67.27537406481687,1021.3754521791166,1211.9950578393434,130565.07990869522,8005.769513713212,121543.67880931486,144227.41188288186
