age_yrs,mean_mass,sd_mass,mean_lwr,mean_upr,quant025,quant975,female_mass,male_mass
0,983.0272202971554,26.76769846202571,769.3864361638815,1256.0033646802485,931.524393281086,1036.2953702858442,1011.0281510207155,967.3705457594826
0.04246575342465753,1232.8230763149277,30.082252130282537,990.0385640549637,1535.15652768835,1174.8634078715081,1292.6074944739878,1267.9392896216818,1213.18790317846
0.08493150684931507,1498.2581301831517,37.14344381048241,1229.5369785503963,1825.7230258663808,1426.7071319660708,1572.0892946298743,1540.9350990839594,1474.3953729437249
0.1232876712328767,1747.8712561779996,45.25512378530683,1458.4778151103797,2094.702526451121,1660.740857198262,1837.872936105142,1797.6583027087638,1720.0329106808529
0.16164383561643836,2003.817081302699,53.21868280353693,1696.1860058015618,2367.2598242897893,1901.3874557191386,2109.6896518514186,2060.894588535187,1971.9022866487912
0.20410958904109588,2291.44310121376,62.299930594496615,1966.1134745063553,2670.623740702756,2171.571472260383,2415.418525414196,2356.7134601715425,2254.9472869407286
0.2465753424657534,2580.5024290324272,70.55082406117141,2239.6309813552434,2973.2740178009035,2444.765217300225,2720.906977511287,2654.006466616934,2539.402766845228
0.2876712328767123,2859.0329344876204,76.53072592867548,2504.6919171984955,3263.5212354820383,2711.7497434306406,3011.2972004191943,2940.4707436164103,2813.4971169400364
0.3287671232876712,3134.3354517284642,82.727065086512,2767.6103493674373,3549.6708119644372,2975.098519672312,3298.8988459408138,3223.615085126324,3084.4148909887854
0.37123287671232874,3413.523049012565,86.53765370789945,3034.704366953226,3839.643669369262,3246.8671252532313,3585.582056216601,3510.755170814628,3359.1558674109424
0.4136986301369863,3685.867864867222,90.88511206705834,3295.2868517635225,4122.755550138243,3510.780693401508,3866.5116314318175,3790.8575626185675,3627.163047383482
0.4547945205479452,3941.6511157192076,91.42969779114182,3539.723436122166,4389.2261932981555,3765.3901442813503,4123.2519580206335,4053.9266433432886,3878.872438399148
0.4958904109589041,4188.997741269183,92.45918528229367,3775.5554720128575,4647.721201207346,4010.6552104880197,4372.54589792406,4308.318786640614,4122.279574243989
0.5383561643835616,4434.991269316374,91.82531366239294,4009.3493466804225,4905.825457785727,4257.754400523949,4617.163244254266,4561.319290278177,4364.355163369973
0.5808219178082191,4670.772788983104,91.41471067425823,4232.559557309617,5154.3594905075925,4494.23195340102,4852.032907584968,4803.816902705887,4596.381390772971
0.6232876712328768,4896.019620141817,91.08355286154396,4444.860965778918,5392.973806432381,4720.036207439767,5076.540283093243,5035.479752449588,4818.040715651819
0.6657534246575343,5110.561964681329,90.42769490776566,4646.1276281443925,5621.423424245734,4935.769191074277,5289.70550289614,5256.133204802479,5029.16604426985
0.7068493150684931,5307.9929544816105,91.27159702179225,4830.460163875423,5832.7349538873605,5131.526551892141,5488.765502406546,5459.187895914317,5223.452550695582
0.7479452054794521,5495.465523588366,93.44846549614087,5004.670989978091,6034.391519934493,5314.77375335591,5680.5328465461625,5652.000506793811,5407.9392441941745
0.7904109589041096,5678.868334386573,96.36956891247722,5174.296357091345,6232.643988974862,5492.525203811765,5869.717520444819,5840.627434781891,5588.420998424799
0.8328767123287671,5802.736507155783,211.64097097093057,5287.973279753323,6367.610748915008,5397.354503202493,6225.7347444695115,5968.0239168928465,5710.316322806314
0.873972602739726,5869.130537101866,208.61037023017542,5348.996387986242,6439.842877912745,5469.371954277947,6285.890678520016,6036.309140281585,5775.652895037445
0.915068493150685,5935.579938428002,207.14747396571585,5409.954641609107,6512.274778685879,5538.499735380449,6349.292840478256,6104.651312270361,5841.043956748659
0.9575342465753424,6004.2031480678625,204.11616216417497,5472.801227860422,6587.203720942396,5612.761009302072,6411.689596568353,6175.229212176655,5908.574204528586
1,6072.85586571626,202.11091413916122,5535.553912168357,6662.310525657563,5685.349046098638,6476.221233545529,6245.83746060911,5976.133490342998
1.5,6878.948569290147,179.31254354235978,6263.731338482881,7554.593666086603,6533.744656033264,7235.588033445162,7074.89122312775,6769.3875554270635
2,7675.179520625737,162.24500835395656,6967.941305158875,8454.206441098631,7362.087535640815,7997.123054180207,7893.802327411253,7552.936936400731
2.5,8454.347072669887,151.60755544932726,7643.940556295265,9350.679671881353,8161.329927172949,8754.726099876232,8695.163991883175,8319.694686843475
3,9210.791417666449,147.98488250009774,8289.283267252153,10234.751647049941,8924.518955918167,9503.733288496986,9473.155192615914,9064.091142757276
3.5,9940.173114964999,149.81941410842575,8902.585490908745,11098.701991005102,9650.213235522453,10236.606407371004,10223.312882639177,9781.855977762953
4,10639.339994278627,156.47160969809548,9483.196268202957,11936.44895185935,10336.452338940599,10948.881589877052,10942.395104018258,10469.887226189752
4.5,11306.100584665297,165.35347396821518,10030.969571444233,12743.34233397056,10986.00742144215,11633.200106335382,11628.147963098132,11126.028320653333
5,11939.114939596924,175.29878709489262,10546.18357380764,13516.043396794199,11599.778909339151,12285.897610860018,12279.19334579123,11748.960655953964
5.5,12537.699686343658,183.46603153158782,11029.420679207546,14252.259069049276,12182.545388973704,12900.630551194905,12894.828413912348,12338.011743439263
6,13101.812529623141,192.3674866476694,11481.57580621025,14950.716130207553,12729.435588346487,13482.361106317527,13475.009667423814,12893.139961463834
6.5,13631.734979797377,196.8464422562853,11903.65514407191,15610.710668448535,13250.643531388629,14021.099140457336,14020.026635338567,13414.622336774144
7,14128.199527463557,198.0462145404704,12296.878890071774,16232.277999184602,13744.707541683503,14519.85811750744,14530.632672801645,13903.179693589647
7.5,14592.299253477939,203.15163996546534,12662.631013974353,16816.059899027056,14198.903120502628,14994.036051247364,15007.951996410713,14359.887703267797
