age_yrs,Lifestage,Activity_stages,no_days,mean_bpm,se_bpm,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975
8,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,617.9749682143794,234.78044336201665,271.5411292348292,1130.8064544508331,45730.14764786407,17373.75280878923,20094.043563377363,83679.67762936166
8,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1047.020684879409,321.6143013529366,510.6117265051754,1654.145419279093,124595.46150064966,38272.10186099945,60762.795454115876,196843.30489421205
8,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,503.12655621934704,156.283441270431,243.90416567921318,801.9947101351745,50312.655621934704,15628.3441270431,24390.41656792132,80199.47101351744
8,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,720.38842203205445,253.50821047694217,328.40506524746706,1255.0390421262787,51867.96638630792,18252.591154339836,23645.16469781763,90362.81103309206
9,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,654.5128927724003,248.22874829346284,288.16297076390276,1196.903798514388,48433.95406515762,18368.92737371625,21324.05983652881,88570.88109006471
9,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1108.9140862285792,339.7512978084494,541.8754300145997,1750.7369916493008,131960.77626120092,40430.40443920548,64483.176171737374,208337.70200626677
9,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,532.8686647550671,165.10618624972082,258.8380896834394,848.8269778826311,53286.866475506715,16510.618624972085,25883.808968343947,84882.69778826312
9,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,762.9789299542393,267.9616904303567,348.5152103303467,1328.390272444287,54934.48295670524,19293.241710985683,25093.095143784958,95644.09961598867
10,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,686.0926350641299,259.79788837262265,302.6014197862869,1253.9347481276852,50770.85499474561,19225.043739574077,22392.505064185232,92791.17136144871
10,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1162.40705419311,355.3164069990438,569.0333718051071,1834.0670292825785,138326.4394489801,42282.65243288621,67714.97124480773,218253.97648462682
10,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,558.5740962361153,172.67909556908924,271.81081091666965,889.2295250470772,55857.40962361153,17267.909556908922,27181.081091666965,88922.95250470773
10,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,799.7895865185205,280.3866944582724,365.9846718994175,1391.6791210528045,57584.850229333475,20187.842000995617,26350.896376758057,100200.89671580192
11,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,713.1191967766123,269.51947435271023,315.19519859032397,1302.424347818102,52770.82056146931,19944.441102100558,23324.444695683975,96379.40173853956
11,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1208.182382563478,368.2720022285235,592.72465859762,1904.87642269885,143773.7035250539,43824.368265194295,70534.23437311678,226680.29430116317
11,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,580.5710600273306,178.98654485594017,283.1276613531395,923.5618132387606,58057.10600273307,17898.654485594016,28312.76613531395,92356.18132387605
11,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,831.2917640224532,290.7982098020564,381.225229465478,1445.4861324557057,59853.00700961663,20937.47110574806,27448.216521514412,104075.00153681081
12,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,736.2214551048344,277.80208656351147,325.9977771416256,1343.8228603432663,54480.387677757746,20557.354405699847,24123.835508480293,99442.89166540172
12,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1247.3102645513115,379.28995697116403,613.0468336234617,1965.3242495824256,148429.92148160606,45135.50487956852,72952.57320119196,233873.58570030867
12,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,599.3736717700792,184.35133530741524,292.8351658440407,952.8703033132826,59937.36717700792,18435.13353074152,29283.516584404075,95287.03033132826
12,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,858.2195968150696,299.66395416317346,394.29860474023633,1491.4239235440687,61791.81097068501,21575.80469974849,28389.499541297017,107382.52249517293
13,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,755.8705062989485,284.80062360334085,335.24748909422783,1378.9502178238106,55934.41746612219,21075.246146647223,24808.31419297286,102042.31611896199
13,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1280.5882067046464,388.5667140367221,630.4484867278846,2016.6046174097946,152389.99659785294,46239.43897036993,75023.36992061826,239975.94947176558
13,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,615.3651791182039,188.8694405545962,301.1476121859647,977.7339939892562,61536.51791182039,18886.944055459622,30114.761218596468,97773.39939892563
13,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,881.122107450119,307.1474455634366,405.4934553768276,1530.4020804259003,63440.791736408566,22114.616080567434,29195.52878713159,110188.94979066483
14,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,772.5792618893252,290.7876953020521,343.06650117182244,1408.8836795481282,57170.86537981006,21518.289452351855,25386.921086714858,104257.39228656147
14,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1308.8874002916466,396.52773984115237,645.1579521861705,2060.3107699871507,155757.60063470594,47186.801041097126,76773.79631015428,245176.98162847094
14,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,628.9641493962293,192.745892959134,308.1740371258852,998.9251927731674,62896.41493962293,19274.5892959134,30817.403712588522,99892.51927731675
14,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,900.5976895634009,313.5553137740297,414.95616717655696,1563.6176132956784,64843.03364856486,22575.98259173014,29876.844036712097,112580.46815728884
15,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,786.742770407811,295.88601870421996,349.6640603479964,1434.2982032443178,58218.96501017801,21895.565384112277,25875.140465751734,106138.06704007954
15,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1332.8764146527167,403.32320962251384,657.5691829592191,2097.4240150496116,158612.2933436733,47995.46194507915,78250.73277214708,249593.45779090383
15,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,640.4918746883981,196.05425490126885,314.1026313657646,1016.9197314044716,64049.1874688398,19605.425490126887,31410.263136576457,101691.97314044717
15,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,917.1066948950419,319.01581168403794,422.9402772317211,1591.8191479323054,66031.68203244302,22969.138441250732,30451.699960683916,114610.978651126
16,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,798.7722968212377,300.30689669627026,355.14750903313677,1456.0449474889044,59109.14996477158,22222.710355524,26280.915668452122,107747.32611417893
16,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1353.2535941857907,409.27958260821623,667.8830394264786,2129.2018173856136,161037.17770810908,48704.27033037774,79478.08169175095,253375.01626888802
16,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,650.2838834856567,198.95194156367762,319.02931737765493,1032.3271646997348,65028.38834856568,19895.194156367765,31902.9317377655,103232.71646997347
16,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,931.128886375416,323.76581729459224,429.5746370255898,1615.9523488678894,67041.27981902995,23311.13884521064,30929.37386584247,116348.56911848803
17,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,808.9505123579238,304.0972609559901,359.72098848616906,1474.533735874501,59862.33791448636,22503.197310743268,26619.35314797651,109115.49645471305
17,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1370.4961760454219,414.42087535911674,676.4844701927818,2156.230170365511,163089.0449494052,49316.084167734894,80501.65195294106,256591.3902734958
17,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,658.5695557186193,201.45194979827122,323.13799839086147,1045.4317289675223,65856.95557186194,20145.194979827123,32313.79983908615,104543.17289675222
17,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,942.9934087974545,327.8464937936091,435.1071938876118,1636.4709785626794,67895.52543341673,23604.947553139857,31327.71795990805,117825.91045651292
18,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,817.5690433089101,307.37668166224535,363.50094495883224,1490.3139211486123,60500.10920485935,22745.874443006152,26899.069926953583,110283.2301649973
18,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1385.0985026209073,418.9167802444497,683.5922856837751,2179.3146429026892,164826.72181188798,49851.09684908951,81347.48199636926,259338.44250542
18,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,665.5864308768279,203.63654406537532,326.53319008979076,1056.6239775791043,66558.6430876828,20363.65440653753,32653.319008979077,105662.39775791042
18,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,953.0402724261328,331.38833915743027,439.6786247179551,1653.984901496455,68618.89961468156,23859.960419334977,31656.860979692767,119086.91290774476
19,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,824.8872740979505,310.26097481240396,366.5785044420327,1503.8908467284123,61041.65828324834,22959.312136117893,27126.809328710417,111287.92265790253
19,Lactating,foraging lactating,119,1.039250275250513,0.02199411192852006,1397.5005249187568,422.93746086059605,689.3775332913792,2199.198310229098,166302.56246533207,50329.557842410926,82035.92646167413,261704.59891726266
19,Lactating,northbound lactating,100,0.4996218350051777,0.010999059726743027,671.5459043611377,205.5880334310194,329.29658972921936,1066.2641472544146,67154.59043611377,20558.80334310194,32929.65897292194,106626.41472544146
19,Lactating,southbound post-weaning,72,0.7191739493024276,0.022034004788815145,961.5719542921655,334.51912641621976,443.39883638628686,1669.0552892763126,69233.1807090359,24085.37710196782,31924.716219812653,120171.9808278945
20,Lactating,calving grounds lactating,74,0.6191317302061677,0.022050157577660528,831.0545377715239,312.7212369546788,369.1329219640092,1515.3850520828034,61498.035795092765,23141.371534646227,27315.83622533668,112138.49385412745
