age_yrs,mean_masschange,sd_masschange,sex,mean_P,sd_P,p_lipid,p_protein,mean_P_perday,sd_P_perday
8,922.3748970388565,3.7064692590726502,Female,24695.169875778553,231.63874195108096,0.6100136232181438,0.10739202587328929,67.65799965966727,0.6346266902769341
9,799.3214733278475,3.3013288305721415,Female,21400.603442927437,201.7518398064824,0.6100136232181438,0.10739202587328929,58.631790254595714,0.5527447665931025
10,688.1313924348312,6.758993474261854,Female,18423.65181513637,238.34023970044495,0.6100136232181438,0.10739202587328929,50.47575839763389,0.6529869580834108
11,589.2498386082127,8.675775135319258,Female,15776.245395882164,267.181749173931,0.6100136232181438,0.10739202587328929,43.222590125704556,0.7320047922573452
12,502.3912453311433,8.78208737010821,Female,13450.739140837553,260.5146835624525,0.6100136232181438,0.10739202587328929,36.85134011188371,0.7137388590752123
13,426.8172019826295,7.811229497605241,Female,11427.361704435598,229.7822878369023,0.6100136232181438,0.10739202587328929,31.307840286124925,0.6295405146216502
14,361.55742139235224,5.975613692333938,Female,9680.134687963338,179.24637149181711,0.6100136232181438,0.10739202587328929,26.520916953324214,0.49108594929264965
15,305.55110105514814,2.364000273476895,Female,8180.658627736708,93.66314772102916,0.6100136232181438,0.10739202587328929,22.41276336366221,0.25661136361925796
16,257.7010224124659,0.564907166206477,Female,6899.549686266872,60.51652153258396,0.6100136232181438,0.10739202587328929,18.90287585278595,0.16579868913036702
17,216.99485088069224,2.562824782964894,Female,5809.700011838726,84.19685612871287,0.6100136232181438,0.10739202587328929,15.91698633380473,0.23067631816085718
18,182.4667414968732,4.114775052396116,Female,4885.259436121525,117.36502143007472,0.6100136232181438,0.10739202587328929,13.384272427730206,0.3215480039180129
19,153.26427013096122,5.94876891637771,Female,4103.404087198775,162.69102749449453,0.6100136232181438,0.10739202587328929,11.242202978626782,0.44572884245066996
20,128.61238291580614,6.454853091954603,Female,3443.3864422830875,174.96603154800974,0.6100136232181438,0.10739202587328929,9.43393545830983,0.4793589905424924
21,107.84095685011089,6.4290074635934165,Female,2887.2633216213935,173.59340579248538,0.6100136232181438,0.10739202587328929,7.910310470195599,0.4755983720342065
22,90.37021459563839,7.00351387833712,Female,2419.509710693747,188.38661848895995,0.6100136232181438,0.10739202587328929,6.628793727928073,0.5161277218875615
23,75.68593671347797,6.589984153308459,Female,2026.3614847281024,177.0622106984556,0.6100136232181438,0.10739202587328929,5.551675300624938,0.48510194711905646
24,63.36303034467897,6.724537865196005,Female,1696.4342269447254,180.42569961404087,0.6100136232181438,0.10739202587328929,4.647765005328015,0.49431698524394757
25,53.02177087233159,5.786827961570273,Female,1419.5647724844393,155.24209145622962,0.6100136232181438,0.10739202587328929,3.8892185547518885,0.42532079851021815
26,44.356269968986446,5.275762097695,Female,1187.5603012917804,141.47232366709608,0.6100136232181438,0.10739202587328929,3.253589866552823,0.38759540730711256
27,37.097700847972625,4.822449227366322,Female,993.2241569400197,129.26988665760598,0.6100136232181438,0.10739202587328929,2.7211620738082734,0.35416407303453695
28,31.021653095194488,4.584890821305284,Female,830.547764000365,122.85121688818238,0.6100136232181438,0.10739202587328929,2.275473326028397,0.3365786764059791
29,25.933505721436482,3.9005098672858742,Female,694.321825651664,104.5083683336729,0.6100136232181438,0.10739202587328929,1.9022515771278465,0.2863242968045833
30,21.678497056805227,3.594008356021281,Female,580.4011138968852,96.27346311189041,0.6100136232181438,0.10739202587328929,1.5901400380736581,0.2637629126353162
31,18.119278572491936,3.268757675235889,Female,485.1091595209035,87.54629343689459,0.6100136232181438,0.10739202587328929,1.3290661904682288,0.23985285873121803
32,15.141767369656081,2.800489869833663,Female,405.391826643646,75.0015362181804,0.6100136232181438,0.10739202587328929,1.110662538749715,0.20548366087172715
33,12.652231543832997,2.372005773635777,Female,338.7392053828874,63.52461527341909,0.6100136232181438,0.10739202587328929,0.9280526174873628,0.1740400418449838
34,10.570977176748846,1.9750012324834392,Female,283.0176302525561,52.892749889441816,0.6100136232181438,0.10739202587328929,0.7753907678152222,0.1449116435327173
35,8.833244462777078,1.881412224131483,Female,236.4926890216588,50.376848197244996,0.6100136232181438,0.10739202587328929,0.6479251754018049,0.13801876218423287
36,7.379886927213619,1.638385395202185,Female,197.58177023156503,43.86740368847634,0.6100136232181438,0.10739202587328929,0.5413199184426439,0.1201846676396612
37,6.165512944083354,1.4413646455366886,Female,165.0691746647913,38.59011135997833,0.6100136232181438,0.10739202587328929,0.4522443141501131,0.10572633249309131
38,5.150212020793519,1.18772220882325,Female,137.88657405658174,31.79969958164038,0.6100136232181438,0.10739202587328929,0.37777143577145683,0.08712246460723391
39,4.302894123474361,1.1030633028546006,Female,115.2011095140792,29.530229334059864,0.6100136232181438,0.10739202587328929,0.31561947812076496,0.08090473790153388
40,3.594127933842626,0.9115471023106536,Female,96.22537808665346,24.403339923660386,0.6100136232181438,0.10739202587328929,0.2636311728401465,0.06685846554427503
41,3.002414160979359,0.8029419678395163,Female,80.38337314110353,21.494955899561326,0.6100136232181438,0.10739202587328929,0.2202284195646672,0.05889029013578446
42,2.507723588030353,0.6588702698959683,Female,67.13909003851865,17.63835158173208,0.6100136232181438,0.10739202587328929,0.18394271243429766,0.04832425090885502
43,2.0948230139458843,0.5824293140563755,Female,56.084467978122795,15.591358975161915,0.6100136232181438,0.10739202587328929,0.15365607665239123,0.042716051986744975
44,1.7497365978911597,0.49347341589325167,Female,46.84549242998367,13.209929437141977,0.6100136232181438,0.10739202587328929,0.1283438148766676,0.036191587499019115
