phase,age_yrs,sex,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Ts,mass,mass_sd,pctbodywt,pctbodywt_sd
2,1,N/A,all,597.4579905742582,41.642275347199735,509.1932217453521,685.8414211050159,597.4579905742582,41.642275347199735,509.1932217453521,685.8414211050159,48.18088288104505,3.641443418446502,40.283378848704174,56.00503186058305,1460,6072.85586571626,202.1109141391612,,
2,2,N/A,all,524.3363848011028,57.41141152768735,397.32862391435066,651.3370031646451,524.3363848011028,57.41141152768735,397.32862391435066,651.3370031646451,180.6423297374241,18.05862344506899,140.07723839487747,219.9840296438181,365,7675.06760963989,162.22066160407826,2.3514388223876703,0.20693279285726018
2,3,N/A,all,623.7085087422173,68.57671548690652,471.05981737903045,775.0911615094091,623.7085087422173,68.57671548690652,471.05981737903045,775.0911615094091,214.88163886161584,21.63080180043775,166.27992020239947,261.7996383955531,365,9210.689342821379,147.96267564790207,2.331173178377661,0.2134926136362944
2,4,N/A,all,715.6755931555466,79.68643076265744,538.4493355989787,892.0578014642911,715.6755931555466,79.68643076265744,538.4493355989787,892.0578014642911,246.56535689658918,25.18771945218804,189.87292258627747,301.2902694804641,365,10639.232065583157,156.44812931381108,2.315830592696816,0.21737945991733448
2,5,N/A,all,798.9757321538323,90.23450214065959,598.2105686613726,998.8050131048043,798.9757321538323,90.23450214065959,598.2105686613726,998.8050131048043,275.26060659898724,28.56601553425959,210.83610049394196,337.2675874308634,365,11938.994024566746,175.2724814737418,2.3038599366177865,0.22006386717824472
2,6,N/A,all,873.1816904114751,99.73065437941645,651.0097896443651,1093.9411843407206,873.1816904114751,99.73065437941645,651.0097896443651,1093.9411843407206,300.8228918546047,31.610812328978433,229.52484445228077,369.4132745052527,365,13101.679841195348,192.33861966969798,2.294347702806381,0.2221805761985553
2,7,N/A,all,938.4441165650233,108.06071610269127,697.3329390625202,1177.9933837530134,938.4441165650233,108.06071610269127,697.3329390625202,1177.9933837530134,323.30481408442296,34.285071912026474,245.95885726230298,397.9212857773084,365,14128.062922046001,198.01649540335376,2.2867203879163216,0.22448269786614394
2,8,N/A,all,995.407942628377,115.3494191359564,738.0126705134876,1250.9689868897933,995.407942628377,115.3494191359564,738.0126705134876,1250.9689868897933,342.92804359040895,36.62649361816841,260.2849883309951,422.6663063691761,365,15024.915415753698,201.6771754438328,2.2807761410173746,0.2263776631678125
2,9,N/A,all,1044.6219493276335,121.57535823988897,772.9927057853981,1314.2849563225582,1044.6219493276335,121.57535823988897,772.9927057853981,1314.2849563225582,359.8822135156249,38.62883481592677,272.7498549232474,443.99462557156414,365,15802.08301708369,198.4166307819415,2.2758957084724356,0.2281909400085688
2,10,N/A,all,1086.95837144328,126.94496630945277,802.5953147565083,1368.8931051715251,1086.95837144328,126.94496630945277,802.5953147565083,1368.8931051715251,374.4670677452652,40.35651993296831,283.4651523053925,462.3539629720637,365,16471.1229686097,191.74113699647597,2.272025072983954,0.22992316469371651
2,11,N/A,all,1123.1606716702038,131.474884928908,828.8028320829274,1415.6928227668595,1123.1606716702038,131.474884928908,828.8028320829274,1415.6928227668595,386.93921820195527,41.815471577058936,292.76650987358255,478.11272460153737,365,17044.01049759451,183.17254121065966,2.268876835919511,0.23139929733123343
2,12,N/A,all,1154.0141221744384,135.32566753120335,851.2070098214426,1455.246120256643,1154.0141221744384,135.32566753120335,851.2070098214426,1455.246120256643,397.56874521411993,43.05630342620341,300.70592735829933,491.5573664707394,365,17532.444501783873,174.49894655698603,2.266343379354191,0.23266466737464317
2,13,N/A,all,1180.213244053712,138.5729239967334,870.3421633995418,1488.1827564623113,1180.213244053712,138.5729239967334,870.3421633995418,1488.1827564623113,406.59497453718075,44.103307650243764,307.4052501953617,502.7581616316962,365,17947.402306424385,166.78421592931616,2.264280202157902,0.233675542902544
2,14,N/A,all,1202.4103141369685,141.33523508665027,886.4662112196049,1516.862801578433,1202.4103141369685,141.33523508665027,886.4662112196049,1516.862801578433,414.2423520852578,44.994031665552804,312.895299770487,512.3973840604119,365,18298.916775752663,160.88242415818647,2.26260931214504,0.2344737463528811
2,15,N/A,all,1221.1817309513242,143.67139975433983,899.8824977889524,1541.0892364310519,1221.1817309513242,143.67139975433983,899.8824977889524,1541.0892364310519,420.70953180232965,45.74745451143256,317.54865430973695,520.5959691175442,365,18595.993840092844,158.5476284235068,2.2612533650413424,0.23495310825092708
2,16,N/A,all,1237.012293754136,145.70054006058615,911.2487917638415,1561.5407921963997,1237.012293754136,145.70054006058615,911.2487917638415,1561.5407921963997,426.1631261688672,46.40118714315067,321.53648225981084,527.5190788309019,365,18846.554920732702,157.98970004382483,2.2601283935283645,0.2353425579035343
2,17,N/A,all,1250.3592439181798,147.4477450845069,920.7142531267834,1578.807576706961,1250.3592439181798,147.4477450845069,920.7142531267834,1578.807576706961,430.76086991007173,46.9636163196048,324.85352926893484,533.356325000702,365,19057.556053691857,160.52086403696472,2.259212822131629,0.23552646211054676
2,18,N/A,all,1261.5819540481252,148.96065162697653,928.5235833798672,1593.3442295213301,1261.5819540481252,148.96065162697653,928.5235833798672,1593.3442295213301,434.62656109420186,47.45012078589199,327.5855140920354,538.2630866525994,365,19234.995077744603,164.58480571636673,2.258442460796329,0.23561935695450797
