age_yrs,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_sd_perday,Lifestage_f
14,Juvenile/Adult,365,all,345492.9343153505,54798.794918263906,946.5559844256178,150.13368470757234,Juvenile/Adult
14,Juvenile/Adult,365,Rs,344668.8800260454,434.3445287774123,944.2983014412202,1.1899850103490748,Juvenile/Adult
14,Juvenile/Adult,365,Vt,344666.3893619031,2283.6301470797785,944.291477703844,6.256520950903503,Juvenile/Adult
14,Juvenile/Adult,365,pctO2,344610.05448186764,52567.09179739575,944.1371355667608,144.01942958190617,Juvenile/Adult
15,Juvenile/Adult,365,all,351859.2971268675,55711.99796529588,963.998074320185,152.63561086382433,Juvenile/Adult
15,Juvenile/Adult,365,Rs,351060.62394904625,442.3992710625056,961.809928627524,1.212052797431522,Juvenile/Adult
15,Juvenile/Adult,365,Vt,351058.2018092569,2224.6895456133807,961.8032926281012,6.095039850995564,Juvenile/Adult
15,Juvenile/Adult,365,pctO2,351000.7075091239,53541.92709300016,961.6457739975996,146.69021121369906,Juvenile/Adult
16,Juvenile/Adult,365,all,357273.1996811889,56526.26160689156,978.8306840580518,154.8664701558673,Juvenile/Adult
16,Juvenile/Adult,365,Rs,356480.2835218648,449.2290129385695,976.6583110188076,1.2307644190097795,Juvenile/Adult
16,Juvenile/Adult,365,Vt,356477.87501356384,2214.0396076587513,976.6517123659283,6.065861938791099,Juvenile/Adult
16,Juvenile/Adult,365,pctO2,356419.4420943904,54368.50517644493,976.491622176412,148.95480870258885,Juvenile/Adult
17,Juvenile/Adult,365,all,361857.38471333263,57236.44178457593,991.3900951050208,156.81216927281076,Juvenile/Adult
17,Juvenile/Adult,365,Rs,361060.6434472026,455.0010869165028,989.207242321103,1.2465783203191858,Juvenile/Adult
17,Juvenile/Adult,365,Vt,361058.2219426671,2226.6675892341186,989.2006080621018,6.100459148586626,Juvenile/Adult
17,Juvenile/Adult,365,pctO2,360999.020277654,55067.07767490243,989.0384117196,150.86870595863678,Juvenile/Adult
18,Juvenile/Adult,365,all,365744.1039422887,57867.59977867763,1002.0386409377774,158.54136925665102,Juvenile/Adult
18,Juvenile/Adult,365,Rs,364931.92256992427,459.8795920667134,999.8134864929432,1.2599440878540094,Juvenile/Adult
18,Juvenile/Adult,365,Vt,364929.45564385754,2267.690860362251,999.8067277913904,6.212851672225345,Juvenile/Adult
18,Juvenile/Adult,365,pctO2,364869.63867898704,55657.50488435076,999.6428456958548,152.48631475164592,Juvenile/Adult
19,Juvenile/Adult,365,all,369051.16482451087,58445.95894603962,1011.0990817109888,160.12591492065647,Juvenile/Adult
19,Juvenile/Adult,365,Rs,368208.48201293073,464.00864388936816,1008.7903616792624,1.2712565586010087,Juvenile/Adult
19,Juvenile/Adult,365,Vt,368205.92746263166,2345.795849175749,1008.7833629113196,6.426837942947256,Juvenile/Adult
19,Juvenile/Adult,365,pctO2,368145.6389029766,56157.22856409558,1008.6181887752784,153.85542072354954,Juvenile/Adult
20,Juvenile/Adult,365,all,371840.2836683104,58945.96120287164,1018.7405032008504,161.49578411745654,Juvenile/Adult
20,Juvenile/Adult,365,Rs,370966.7437616727,467.4845477754731,1016.3472431826652,1.2807795829465016,Juvenile/Adult
20,Juvenile/Adult,365,Vt,370964.10083336144,2424.4976780873653,1016.340002283182,6.642459392020179,Juvenile/Adult
20,Juvenile/Adult,365,pctO2,370903.4298919322,56577.90419496893,1016.1737805258416,155.007956698545,Juvenile/Adult
21,Juvenile/Adult,365,all,374202.7407505193,59392.51313146631,1025.2129883575872,162.7192140588118,Juvenile/Adult
21,Juvenile/Adult,365,Rs,373293.3909259238,470.416539970741,1022.7216189751338,1.288812438276003,Juvenile/Adult
21,Juvenile/Adult,365,Vt,373290.64585516293,2515.326776676595,1022.7140982333232,6.891306237470123,Juvenile/Adult
21,Juvenile/Adult,365,pctO2,373229.679961193,56932.75223072457,1022.54706838683,155.98014309787553,Juvenile/Adult
22,Juvenile/Adult,365,all,376196.638992605,59781.05700365021,1030.6757232674108,163.78371781821974,Juvenile/Adult
22,Juvenile/Adult,365,Rs,375252.1742475252,472.88495782945114,1028.0881486233566,1.2955752269300032,Juvenile/Adult
22,Juvenile/Adult,365,Vt,375249.3291720686,2604.261005902435,1028.0803538960783,7.134961660006671,Juvenile/Adult
22,Juvenile/Adult,365,pctO2,375188.12897209346,57231.49560050613,1027.9126821153243,156.79861808357845,Juvenile/Adult
23,Juvenile/Adult,365,all,377885.2902636709,60128.70285167845,1035.3021651059476,164.7361721963793,Juvenile/Adult
23,Juvenile/Adult,365,Rs,376903.28697198135,474.96565562325287,1032.611745128716,1.3012757688308298,Juvenile/Adult
23,Juvenile/Adult,365,Vt,376900.33520275186,2699.128540059386,1032.6036580897312,7.394872712491469,Juvenile/Adult
23,Juvenile/Adult,365,pctO2,376838.9598967988,57483.31466275446,1032.435506566572,157.48853332261496,Juvenile/Adult
24,Juvenile/Adult,365,all,379308.4545808356,60430.078869337674,1039.2012454269468,165.56185991599364,Juvenile/Adult
24,Juvenile/Adult,365,Rs,378291.298120203,476.7147983020658,1036.4145153978166,1.3060679405536046,Juvenile/Adult
24,Juvenile/Adult,365,Vt,378288.2465131914,2787.9404926108346,1036.4061548306613,7.638193130440643,Juvenile/Adult
24,Juvenile/Adult,365,pctO2,378226.73414950765,57695.00685103345,1036.2376278068705,158.0685119206396,Juvenile/Adult
25,Juvenile/Adult,365,all,380501.66289958335,60683.155949926615,1042.470309313927,166.25522178062087,Juvenile/Adult
25,Juvenile/Adult,365,Rs,379454.87017419026,478.18110751875344,1039.6023840388775,1.3100852260787763,Juvenile/Adult
25,Juvenile/Adult,365,Vt,379451.7344010215,2862.862351960269,1039.593792879511,7.843458498521285,Juvenile/Adult
25,Juvenile/Adult,365,pctO2,379390.1076135924,57872.468764537814,1039.424952366007,158.5547089439392,Juvenile/Adult
26,Juvenile/Adult,365,all,381520.0588293588,60917.73791478147,1045.260435148928,166.8979120952917,Juvenile/Adult
26,Juvenile/Adult,365,Rs,380440.1757540308,479.422769045449,1042.3018513809063,1.3134870384806825,Juvenile/Adult
26,Juvenile/Adult,365,Vt,380436.9461563271,2946.369503225811,1042.2930031680194,8.07224521431729,Juvenile/Adult
26,Juvenile/Adult,365,pctO2,380375.2450287384,58022.74240937645,1042.123958982845,158.96641755993548,Juvenile/Adult
27,Juvenile/Adult,365,all,382369.5480141173,61111.47559021552,1047.5878027784036,167.4287002471658,Juvenile/Adult
27,Juvenile/Adult,365,Rs,381262.87924889545,480.4595228184429,1044.5558335586177,1.3163274597765555,Juvenile/Adult
27,Juvenile/Adult,365,Vt,381259.5736908216,3014.0211256310704,1044.5467772351276,8.25759212501663,Juvenile/Adult
27,Juvenile/Adult,365,pctO2,381197.808110634,58148.21683611703,1044.3775564674904,159.3101831126494,Juvenile/Adult
28,Juvenile/Adult,365,all,383087.67873270693,61281.69916198165,1049.555284199197,167.89506619721,Juvenile/Adult
28,Juvenile/Adult,365,Rs,381955.6646570922,481.3325565302312,1046.453875772855,1.3187193329595377,Juvenile/Adult
28,Juvenile/Adult,365,Vt,381952.2872646098,3078.011142642396,1046.4446226427667,8.432907240116153,Juvenile/Adult
28,Juvenile/Adult,365,pctO2,381890.4752793232,58253.87683694398,1046.2752747378718,159.5996625669698,Juvenile/Adult
