age_yrs,Vt_mean_m,Vt_sd_m,quant025_m,quant975_m
0,17.832881986545452,0.517581171092794,16.823893863687516,18.842920879493345
0.04246575342465753,22.56787080118104,0.5845476167852028,21.439504432774715,23.712478439829578
0.08493150684931507,27.640714715049302,0.7202812354090842,26.232520747021248,29.056695218814948
0.1232876712328767,32.443356294219235,0.886961891999988,30.700770687962454,34.191872836404606
0.16164383561643836,37.38347710664083,1.0432060798185363,35.36804787838494,39.46719389472277
0.20410958904109588,42.98900417996513,1.2432576220523093,40.54422553510457,45.44638917106469
0.2465753424657534,48.63823849160748,1.396833950266551,45.89142090675574,51.3593327150233
0.2876712328767123,54.11820931160099,1.5235210206655763,51.09906696701489,57.07436809741681
0.3287671232876712,59.549026263278236,1.6552248837003234,56.320394083398796,62.78873713265102
0.37123287671232874,65.13731250586498,1.7529664742590385,61.68748102202274,68.56614184652642
0.4136986301369863,70.49159287742496,1.8368398356758529,66.91148735798198,74.07734881195536
0.4547945205479452,75.57986903012102,1.8607731117372104,71.8907305956395,79.24262946674837
0.4958904109589041,80.47531782993141,1.9005124761031127,76.69891943731956,84.14568617224984
0.5383561643835616,85.45646633319517,1.882774335435671,81.81329216622831,89.1590146731231
0.5808219178082191,90.19212813099006,1.8767044986609085,86.56530916036466,93.87298396801144
0.6232876712328768,94.71717875133515,1.8801779812389345,91.02488383988167,98.42526822714342
0.6657534246575343,99.03709295813468,1.8331878427673018,95.46937623197562,102.66588943899802
0.7068493150684931,102.9823109597106,1.859502888174415,99.37089241051522,106.62995252836707
0.7479452054794521,106.78885338700091,1.9145444926415391,103.00530009464757,110.4905716753809
0.7904109589041096,110.46507177878459,1.9796951790847044,106.57204396831573,114.39186343838816
0.8328767123287671,112.94704843821505,4.370155740488904,104.39789256456811,121.54334800122837
0.873972602739726,114.36841188063819,4.27968041233251,106.18702097045049,122.8728795706705
0.915068493150685,115.68124806902264,4.261680281235679,107.33104504269532,123.96448332630317
0.9575342465753424,117.06648921323008,4.214089571069533,108.836476434651,125.05071940608286
1,118.39865403059137,4.150237929762709,110.25550188002457,126.65851736926732
