ID,sex,age_yrs,length_m,Details,source
690,Male,34.94,11.572,Blokhin 1984 - Fig 13,Blokhin (1984)
691,Male,43.95,12.884,Blokhin 1984 - Fig 13,Blokhin (1984)
692,Male,44.7,12.873,Blokhin 1984 - Fig 13,Blokhin (1984)
693,Male,44.94,11.806,Blokhin 1984 - Fig 13,Blokhin (1984)
694,Unknown,0.17,5.079,Sumich 1986 - Fig 2,Sumich (1986)
695,Unknown,0.17,5.607,Sumich 1986 - Fig 2,Sumich (1986)
696,Unknown,0.17,6.227,Sumich 1986 - Fig 2,Sumich (1986)
697,Unknown,0.25,6.228,Sumich 1986 - Fig 2,Sumich (1986)
698,Unknown,0.41,6.644,Sumich 1986 - Fig 2,Sumich (1986)
699,Unknown,0.5,6.312,Sumich 1986 - Fig 2,Sumich (1986)
700,Unknown,0.5,6.829,Sumich 1986 - Fig 2,Sumich (1986)
701,Unknown,0.58,7.094,Sumich 1986 - Fig 2,Sumich (1986)
702,Unknown,0.5,7.253,Sumich 1986 - Fig 2,Sumich (1986)
703,Unknown,0.58,7.645,Sumich 1986 - Fig 2,Sumich (1986)
704,Unknown,1.75,8.912,Sumich 1986 - Fig 2,Sumich (1986)
705,Unknown,1.99,9.949,Sumich 1986 - Fig 2,Sumich (1986)
706,Unknown,2.17,8.608,Sumich 1986 - Fig 2,Sumich (1986)
707,Unknown,2.24,8.724,Sumich 1986 - Fig 2,Sumich (1986)
708,Unknown,2.24,9.218,Sumich 1986 - Fig 2,Sumich (1986)
709,Unknown,2.24,9.551,Sumich 1986 - Fig 2,Sumich (1986)
710,Unknown,2.17,9.676,Sumich 1986 - Fig 2,Sumich (1986)
711,Unknown,2.14,9.928,Sumich 1986 - Fig 2,Sumich (1986)
712,Unknown,2.98,10.238,Sumich 1986 - Fig 2,Sumich (1986)
713,Unknown,2.99,9.917,Sumich 1986 - Fig 2,Sumich (1986)
714,Unknown,3.15,10.229,Sumich 1986 - Fig 2,Sumich (1986)
715,Unknown,3.16,9.827,Sumich 1986 - Fig 2,Sumich (1986)
716,Unknown,3.24,9.53,Sumich 1986 - Fig 2,Sumich (1986)
717,Unknown,0,3.592328646,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
718,Unknown,0,3.845717725,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
719,Unknown,0,4.138698847,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
720,Unknown,0,4.05951476,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
721,Unknown,0,4.110984417,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
722,Unknown,0,4.206005321,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
723,Unknown,0,4.225801343,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
724,Unknown,0,4.257474978,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
725,Unknown,0,4.324781452,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
726,Unknown,0,4.308944634,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
727,Unknown,0,4.411883948,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
728,Unknown,0,4.376251109,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
729,Unknown,0,4.407924743,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
730,Unknown,0,4.479190422,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
731,Unknown,0,4.530660079,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
732,Unknown,0,4.574211326,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
733,Unknown,0,4.506904852,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
734,Unknown,0,4.514823261,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
735,Unknown,0,4.570252122,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
736,Unknown,0,4.530660079,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
737,Unknown,0,4.617762574,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
738,Unknown,0,4.495027239,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
739,Unknown,0,4.52274167,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
740,Unknown,0,4.574211326,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
741,Unknown,0,4.657354618,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
742,Unknown,0,4.85927404,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
743,Unknown,0,4.772171544,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
744,Unknown,0,4.823641201,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
745,Unknown,0,5.07703028,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
746,Unknown,0,5.108703915,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
747,Unknown,0,4.700905866,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
748,Unknown,0,4.752375523,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
749,Unknown,0,4.803845179,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
750,Unknown,0,4.875110858,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
751,Unknown,0,4.926580514,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
752,Unknown,0,5.108703915,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
753,Unknown,0,5.223520841,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
754,Unknown,0,5.306664133,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
755,Unknown,0,4.716742683,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
756,Unknown,0,5.112663119,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
757,Unknown,0,4.748416318,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
758,Unknown,0,4.791967566,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Rice (1983)
759,Unknown,0,4.301026226,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
760,Unknown,0,4.411883948,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
761,Unknown,0,4.407924743,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
762,Unknown,0,4.510864057,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
763,Unknown,0,4.61380337,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
764,Unknown,0,4.61380337,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
765,Unknown,0,4.221842139,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
766,Unknown,0,4.301026226,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
767,Unknown,0,4.411883948,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
768,Unknown,0,4.487108831,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
769,Unknown,0,4.411883948,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
770,Unknown,0,4.498986444,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
771,Unknown,0,4.605884961,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
772,Unknown,0,4.724661092,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
773,Unknown,0,4.8869884709999996,Sumich et al. 2013 - Fig 1 - lengths at birth,Sumich et al. (2013); Perryman and Lynn (2002)
774,Unknown,0.473776267,7.022508039,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
775,Unknown,0.502535848,7.22829582,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
776,Unknown,0.525240781,7.22829582,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
777,Unknown,0.546432052,7.22829582,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
778,Unknown,0.569136985,7.22829582,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
779,Unknown,0.602437553,7.337620579,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
780,Unknown,0.563082336,7.331189711,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
781,Unknown,0.567623323,7.434083601,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
782,Unknown,0.602437553,7.446945338,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
783,Unknown,0.678120663,7.440514469,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
784,Unknown,0.567623323,7.549839228,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
785,Unknown,0.523727119,7.549839228,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
786,Unknown,0.54491839,7.549839228,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
787,Unknown,0.54491839,7.646302251,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
788,Unknown,0.523727119,7.652733119,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
789,Unknown,0.466207956,7.8585209,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
790,Unknown,0.799213639,7.768488746,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
791,Unknown,0.800727301,7.967845659,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
792,Unknown,0.776508706,7.967845659,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
793,Unknown,0.759858421,7.967845659,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
794,Unknown,0.738667151,7.852090032,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
795,Unknown,0.738667151,7.762057878,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
796,Unknown,0.679634325,7.8585209,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
797,Unknown,0.662984041,7.852090032,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
798,Unknown,0.623628824,7.762057878,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
799,Unknown,0.564595998,7.762057878,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
800,Unknown,0.504049511,7.762057878,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
801,Unknown,0.522213457,7.75562701,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
802,Unknown,0.543404728,7.75562701,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
803,Unknown,0.525240781,7.8585209,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
804,Unknown,0.481344578,8.064308682,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
805,Unknown,0.505563173,8.180064309,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
806,Unknown,0.48285824,8.270096463,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
807,Unknown,0.48285824,8.392282958,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
808,Unknown,0.525240781,8.270096463,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
809,Unknown,0.57973262,8.59807074,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
810,Unknown,0.564595998,8.276527331,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
811,Unknown,0.564595998,8.167202572,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
812,Unknown,0.541891066,8.064308682,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
813,Unknown,0.541891066,7.954983923,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
814,Unknown,0.543404728,7.8585209,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
815,Unknown,0.564595998,7.8585209,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
816,Unknown,0.662984041,8.064308682,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
817,Unknown,0.662984041,8.186495177,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
818,Unknown,0.699311934,8.270096463,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
819,Unknown,0.679634325,8.38585209,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
820,Unknown,0.662984041,8.482315113,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
821,Unknown,0.722016867,8.688102894,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
822,Unknown,0.820404909,8.803858521,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
823,Unknown,0.662984041,9.01607717,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
824,Unknown,0.623628824,8.38585209,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
825,Unknown,0.625142486,8.270096463,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
826,Unknown,0.600923891,8.180064309,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
827,Unknown,0.561568674,8.064308682,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
828,Unknown,0.625142486,8.160771704,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
829,Unknown,0.646333757,8.128617363,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
830,Unknown,0.599410229,7.852090032,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
831,Unknown,0.582759945,7.852090032,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
832,Unknown,0.6206015,7.852090032,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
833,Unknown,0.64179277,7.852090032,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
834,Unknown,0.582759945,8.064308682,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
835,Unknown,0.622115162,8.064308682,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
836,Unknown,0.64179277,8.019292605,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
837,Unknown,0.564595998,8.012861736,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
838,Unknown,0.585787269,7.974276527,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
839,Unknown,0.610005864,8.012861736,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
840,Unknown,0.625142486,7.961414791,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
841,Unknown,0.603951215,7.935691318,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
842,Unknown,0.646333757,7.935691318,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
843,Unknown,0.573677972,7.922829582,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
844,Unknown,1.713465604,10.23794212,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
845,Unknown,1.774012092,10.03215434,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
846,Unknown,1.69681532,9.819935691,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
847,Unknown,1.736170537,9.710610932,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
848,Unknown,1.774012092,9.704180064,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
849,Unknown,1.774012092,9.498392283,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
850,Unknown,1.713465604,9.408360129,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
851,Unknown,1.796717024,9.080385852,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
852,Unknown,1.772498429,9.080385852,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
853,Unknown,1.698328982,8.874598071,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
854,Unknown,1.675624049,8.874598071,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
855,Unknown,1.654432778,8.784565916,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
856,Unknown,1.677137711,8.668810289,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
857,Unknown,1.637782494,8.668810289,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
858,Unknown,1.637782494,8.578778135,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
859,Unknown,1.577236006,8.874598071,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
860,Unknown,1.537880789,8.668810289,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
861,Unknown,1.557558398,8.668810289,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
862,Unknown,1.577236006,8.572347267,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
863,Unknown,1.554531073,8.45659164,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
864,Unknown,1.578749669,8.463022508,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
865,Unknown,1.599940939,8.45659164,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
866,Unknown,1.616591223,8.250803859,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
867,Unknown,1.675624049,8.45659164,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
868,Unknown,1.698328982,8.45659164,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
869,Unknown,1.714979266,8.45659164,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
870,Unknown,1.675624049,8.360128617,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
871,Unknown,1.675624049,8.250803859,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
872,Unknown,1.675624049,8.045016077,Sumich et al. 2013 - Fig 2 - Chukotkan fishery pts,Sumich et al. (2013)
873,Unknown,1.045940576,8.823151125,Sumich et al. 2013 - Fig 2 - Perryman and Lynn (2002),Sumich et al. (2013); Perryman and Lynn (2002)
874,Unknown,1.058049874,8.495176849,Sumich et al. 2013 - Fig 2 - Perryman and Lynn (2002),Sumich et al. (2013); Perryman and Lynn (2002)
875,Unknown,1.058049874,8.282958199,Sumich et al. 2013 - Fig 2 - Perryman and Lynn (2002),Sumich et al. (2013); Perryman and Lynn (2002)
876,Unknown,1.079241144,8.282958199,Sumich et al. 2013 - Fig 2 - Perryman and Lynn (2002),Sumich et al. (2013); Perryman and Lynn (2002)
877,Unknown,1.058049874,8.077170418,Sumich et al. 2013 - Fig 2 - Perryman and Lynn (2002),Sumich et al. (2013); Perryman and Lynn (2002)
878,Unknown,1.192765809,8.282958199,Sumich et al. 2013 - Fig 2 - Perryman and Lynn (2002),Sumich et al. (2013); Perryman and Lynn (2002)
879,Unknown,1.167033552,8.475884244,Sumich et al. 2013 - Fig 2 - Perryman and Lynn (2002),Sumich et al. (2013); Perryman and Lynn (2002)
880,Unknown,1.194279471,8.488745981,Sumich et al. 2013 - Fig 2 - Perryman and Lynn (2002),Sumich et al. (2013); Perryman and Lynn (2002)
881,Unknown,1.192765809,8.70096463,Sumich et al. 2013 - Fig 2 - Perryman and Lynn (2002),Sumich et al. (2013); Perryman and Lynn (2002)
882,Unknown,1.221525391,8.707395498,Sumich et al. 2013 - Fig 2 - Perryman and Lynn (2002),Sumich et al. (2013); Perryman and Lynn (2002)
883,Unknown,1.192765809,8.91318328,Sumich et al. 2013 - Fig 2 - Perryman and Lynn (2002),Sumich et al. (2013); Perryman and Lynn (2002)
